bsim4 ,180,bsim4 ,225,bsim4 ,270,bsim4 ,315,bsim4 ,360,bsim4 ,405,bsim4 ,450,bsim4 ,495,bsim4 ,540,bsim4 ,585,bsim4 ,630,bsim4 ,675,bsim4 ,720
2.18E+05,29.27,2.02E+05,29.26,1.89E+05,29.25,1.77E+05,29.24,1.67E+05,29.23,1.57E+05,29.22,1.47E+05,29.21,1.39E+05,29.2,1.31E+05,29.19,1.24E+05,29.19,1.17E+05,29.18,1.11E+05,29.17,1.05E+05,29.17
1.00E+06,29.18,9.32E+05,29.16,8.73E+05,29.13,8.19E+05,29.11,7.70E+05,29.09,7.24E+05,29.07,6.82E+05,29.05,6.42E+05,29.04,6.06E+05,29.02,5.73E+05,29.01,5.42E+05,28.99,5.14E+05,28.98,4.87E+05,28.97
4.52E+06,28.99,4.21E+06,28.94,3.95E+06,28.89,3.71E+06,28.85,3.48E+06,28.81,3.27E+06,28.77,3.08E+06,28.73,2.90E+06,28.7,2.74E+06,28.67,2.59E+06,28.64,2.45E+06,28.61,2.32E+06,28.58,2.20E+06,28.56
1.98E+07,28.6,1.85E+07,28.5,1.73E+07,28.4,1.62E+07,28.31,1.52E+07,28.23,1.43E+07,28.16,1.34E+07,28.09,1.26E+07,28.02,1.18E+07,27.96,1.11E+07,27.91,1.05E+07,27.86,9.92E+06,27.81,9.38E+06,27.76
8.29E+07,27.78,7.67E+07,27.59,7.11E+07,27.42,6.59E+07,27.27,6.11E+07,27.13,5.67E+07,27,5.26E+07,26.88,4.88E+07,26.78,4.54E+07,26.68,4.23E+07,26.59,3.94E+07,26.51,3.69E+07,26.44,3.45E+07,26.36
3.13E+08,26.34,2.81E+08,26.06,2.52E+08,25.8,2.25E+08,25.58,2.02E+08,25.38,1.81E+08,25.21,1.63E+08,25.06,1.48E+08,24.92,1.34E+08,24.79,1.22E+08,24.68,1.11E+08,24.58,1.02E+08,24.49,9.38E+07,24.4
9.56E+08,24.22,7.97E+08,23.88,6.69E+08,23.59,5.67E+08,23.35,4.86E+08,23.14,4.21E+08,22.96,3.68E+08,22.8,3.25E+08,22.65,2.89E+08,22.53,2.59E+08,22.41,2.34E+08,22.31,2.12E+08,22.21,1.93E+08,22.12
2.15E+09,21.68,1.68E+09,21.39,1.35E+09,21.12,1.11E+09,20.89,9.37E+08,20.68,8.03E+08,20.49,6.98E+08,20.32,6.13E+08,20.17,5.43E+08,20.03,4.86E+08,19.9,4.37E+08,19.78,3.96E+08,19.67,3.61E+08,19.57
3.95E+09,19.1,3.03E+09,18.8,2.42E+09,18.52,1.99E+09,18.25,1.68E+09,18,1.44E+09,17.78,1.25E+09,17.58,1.09E+09,17.4,9.67E+08,17.23,8.63E+08,17.08,7.75E+08,16.94,7.01E+08,16.81,6.37E+08,16.7
6.71E+09,16.51,5.14E+09,16.12,4.10E+09,15.76,3.36E+09,15.44,2.81E+09,15.16,2.39E+09,14.91,2.06E+09,14.7,1.80E+09,14.5,1.58E+09,14.33,1.40E+09,14.17,1.26E+09,14.03,1.13E+09,13.91,1.02E+09,13.79
1.07E+10,13.88,8.06E+09,13.42,6.34E+09,13.04,5.14E+09,12.71,4.25E+09,12.44,3.58E+09,12.21,3.06E+09,12.01,2.65E+09,11.83,2.32E+09,11.68,2.05E+09,11.55,1.82E+09,11.43,1.63E+09,11.32,1.47E+09,11.22
