bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 5.4e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 5.85e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 6.3e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 6.75e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) length 7.2e-07 
29.27,20.31,29.26,21.45,29.25,22.41,29.24,23.23,29.23,23.97,29.22,24.62,29.21,25.23,29.20,25.78,29.19,26.30,29.19,26.79,29.18,27.25,29.17,27.68,29.17,28.10
29.18,20.28,29.16,21.41,29.13,22.36,29.11,23.18,29.09,23.91,29.07,24.56,29.05,25.16,29.04,25.71,29.02,26.22,29.01,26.70,28.99,27.16,28.98,27.59,28.97,28.00
28.99,20.20,28.94,21.32,28.89,22.26,28.85,23.07,28.81,23.78,28.77,24.43,28.73,25.01,28.70,25.55,28.67,26.06,28.64,26.53,28.61,26.98,28.58,27.40,28.56,27.81
28.60,20.04,28.50,21.14,28.40,22.05,28.31,22.84,28.23,23.54,28.16,24.16,28.09,24.73,28.02,25.26,27.96,25.75,27.91,26.20,27.86,26.64,27.81,27.05,27.76,27.44
27.78,19.71,27.59,20.76,27.42,21.64,27.27,22.39,27.13,23.06,27.00,23.66,26.88,24.21,26.78,24.72,26.68,25.19,26.59,25.63,26.51,26.04,26.44,26.44,26.36,26.82
26.34,19.14,26.06,20.15,25.80,21.00,25.58,21.73,25.38,22.39,25.21,22.98,25.06,23.52,24.92,24.02,24.79,24.50,24.68,24.94,24.58,25.36,24.49,25.77,24.40,26.15
24.22,18.36,23.88,19.38,23.59,20.26,23.35,21.03,23.14,21.73,22.96,22.36,22.80,22.95,22.65,23.50,22.53,24.02,22.41,24.51,22.31,24.98,22.21,25.42,22.12,25.85
21.68,17.60,21.39,18.74,21.12,19.73,20.89,20.60,20.68,21.39,20.49,22.11,20.32,22.77,20.17,23.39,20.03,23.97,19.90,24.52,19.78,25.04,19.67,25.54,19.57,26.01
19.10,17.09,18.80,18.36,18.52,19.44,18.25,20.39,18.00,21.24,17.78,22.01,17.58,22.71,17.40,23.36,17.23,23.97,17.08,24.54,16.94,25.08,16.81,25.60,16.70,26.09
16.51,16.68,16.12,17.96,15.76,19.03,15.44,19.97,15.16,20.80,14.91,21.55,14.70,22.24,14.50,22.88,14.33,23.48,14.17,24.04,14.03,24.58,13.91,25.09,13.79,25.58
13.88,15.99,13.42,17.15,13.04,18.14,12.71,19.01,12.44,19.79,12.21,20.49,12.01,21.15,11.83,21.76,11.68,22.34,11.55,22.88,11.43,23.40,11.32,23.90,11.22,24.37
11.39,14.85,10.96,15.87,10.61,16.76,10.33,17.55,10.11,18.27,9.917,18.93,9.758,19.55,9.621,20.13,9.503,20.68,9.398,21.20,9.306,21.70,9.223,22.18,9.149,22.63
9.254,13.37,8.897,14.27,8.627,15.06,8.416,15.78,8.246,16.45,8.107,17.06,7.991,17.64,7.892,18.19,7.807,18.70,7.732,19.19,7.666,19.66,7.607,20.11,7.554,20.54
7.539,11.77,7.277,12.56,7.084,13.26,6.935,13.91,6.816,14.51,6.719,15.07,6.639,15.59,6.571,16.09,6.512,16.55,6.460,16.99,6.415,17.40,6.375,17.80,6.338,18.18
6.211,10.20,6.032,10.88,5.903,11.49,5.802,12.05,5.722,12.57,5.657,13.04,5.603,13.48,5.557,13.88,5.517,14.25,5.483,14.60,5.452,14.92,5.425,15.23,5.400,15.51
5.196,8.745,5.078,9.304,4.991,9.802,4.925,10.24,4.872,10.63,4.830,10.98,4.794,11.29,4.763,11.55,4.736,11.78,4.712,11.98,4.690,12.16,4.671,12.31,4.653,12.44
