bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 1.8e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 2.25e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 2.7e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 3.15e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 3.6e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.05e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.5e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.95e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 5.4e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 5.85e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 6.3e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 6.75e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 7.2e-07 
-460.7E-3,29.27,-445.3E-3,29.26,-433.5E-3,29.25,-424.1E-3,29.24,-416.4E-3,29.23,-409.9E-3,29.22,-404.3E-3,29.21,-399.5E-3,29.20,-395.3E-3,29.19,-391.6E-3,29.19,-388.2E-3,29.18,-385.2E-3,29.17,-382.5E-3,29.17
-410.7E-3,29.18,-395.3E-3,29.16,-383.5E-3,29.13,-374.1E-3,29.11,-366.4E-3,29.09,-359.9E-3,29.07,-354.3E-3,29.05,-349.5E-3,29.04,-345.3E-3,29.02,-341.6E-3,29.01,-338.2E-3,28.99,-335.2E-3,28.98,-332.5E-3,28.97
-360.7E-3,28.99,-345.3E-3,28.94,-333.5E-3,28.89,-324.1E-3,28.85,-316.4E-3,28.81,-309.9E-3,28.77,-304.3E-3,28.73,-299.5E-3,28.70,-295.3E-3,28.67,-291.6E-3,28.64,-288.2E-3,28.61,-285.2E-3,28.58,-282.5E-3,28.56
-310.7E-3,28.60,-295.3E-3,28.50,-283.5E-3,28.40,-274.1E-3,28.31,-266.4E-3,28.23,-259.9E-3,28.16,-254.3E-3,28.09,-249.5E-3,28.02,-245.3E-3,27.96,-241.6E-3,27.91,-238.2E-3,27.86,-235.2E-3,27.81,-232.5E-3,27.76
-260.7E-3,27.78,-245.3E-3,27.59,-233.5E-3,27.42,-224.1E-3,27.27,-216.4E-3,27.13,-209.9E-3,27.00,-204.3E-3,26.88,-199.5E-3,26.78,-195.3E-3,26.68,-191.6E-3,26.59,-188.2E-3,26.51,-185.2E-3,26.44,-182.5E-3,26.36
-210.7E-3,26.34,-195.3E-3,26.06,-183.5E-3,25.80,-174.1E-3,25.58,-166.4E-3,25.38,-159.9E-3,25.21,-154.3E-3,25.06,-149.5E-3,24.92,-145.3E-3,24.79,-141.6E-3,24.68,-138.2E-3,24.58,-135.2E-3,24.49,-132.5E-3,24.40
-160.7E-3,24.22,-145.3E-3,23.88,-133.5E-3,23.59,-124.1E-3,23.35,-116.4E-3,23.14,-109.9E-3,22.96,-104.3E-3,22.80,-99.54E-3,22.65,-95.32E-3,22.53,-91.58E-3,22.41,-88.22E-3,22.31,-85.20E-3,22.21,-82.45E-3,22.12
-110.7E-3,21.68,-95.29E-3,21.39,-83.49E-3,21.12,-74.09E-3,20.89,-66.36E-3,20.68,-59.88E-3,20.49,-54.34E-3,20.32,-49.54E-3,20.17,-45.32E-3,20.03,-41.58E-3,19.90,-38.22E-3,19.78,-35.20E-3,19.67,-32.45E-3,19.57
-60.65E-3,19.10,-45.29E-3,18.80,-33.49E-3,18.52,-24.09E-3,18.25,-16.36E-3,18.00,-9.883E-3,17.78,-4.344E-3,17.58,460.0E-6,17.40,4.679E-3,17.23,8.423E-3,17.08,11.78E-3,16.94,14.80E-3,16.81,17.55E-3,16.70
-10.65E-3,16.51,4.714E-3,16.12,16.51E-3,15.76,25.91E-3,15.44,33.64E-3,15.16,40.12E-3,14.91,45.66E-3,14.70,50.46E-3,14.50,54.68E-3,14.33,58.42E-3,14.17,61.78E-3,14.03,64.80E-3,13.91,67.55E-3,13.79
39.35E-3,13.88,54.71E-3,13.42,66.51E-3,13.04,75.91E-3,12.71,83.64E-3,12.44,90.12E-3,12.21,95.66E-3,12.01,100.5E-3,11.83,104.7E-3,11.68,108.4E-3,11.55,111.8E-3,11.43,114.8E-3,11.32,117.5E-3,11.22
89.35E-3,11.39,104.7E-3,10.96,116.5E-3,10.61,125.9E-3,10.33,133.6E-3,10.11,140.1E-3,9.917,145.7E-3,9.758,150.5E-3,9.621,154.7E-3,9.503,158.4E-3,9.398,161.8E-3,9.306,164.8E-3,9.223,167.5E-3,9.149
139.3E-3,9.254,154.7E-3,8.897,166.5E-3,8.627,175.9E-3,8.416,183.6E-3,8.246,190.1E-3,8.107,195.7E-3,7.991,200.5E-3,7.892,204.7E-3,7.807,208.4E-3,7.732,211.8E-3,7.666,214.8E-3,7.607,217.5E-3,7.554
189.3E-3,7.539,204.7E-3,7.277,216.5E-3,7.084,225.9E-3,6.935,233.6E-3,6.816,240.1E-3,6.719,245.7E-3,6.639,250.5E-3,6.571,254.7E-3,6.512,258.4E-3,6.460,261.8E-3,6.415,264.8E-3,6.375,267.5E-3,6.338
239.3E-3,6.211,254.7E-3,6.032,266.5E-3,5.903,275.9E-3,5.802,283.6E-3,5.722,290.1E-3,5.657,295.7E-3,5.603,300.5E-3,5.557,304.7E-3,5.517,308.4E-3,5.483,311.8E-3,5.452,314.8E-3,5.425,317.5E-3,5.400
289.3E-3,5.196,304.7E-3,5.078,316.5E-3,4.991,325.9E-3,4.925,333.6E-3,4.872,340.1E-3,4.830,345.7E-3,4.794,350.5E-3,4.763,354.7E-3,4.736,358.4E-3,4.712,361.8E-3,4.690,364.8E-3,4.671,367.5E-3,4.653
339.3E-3,4.412,354.7E-3,4.335,366.5E-3,4.278,375.9E-3,4.234,383.6E-3,4.198,390.1E-3,4.167,395.6E-3,4.141,400.4E-3,4.118,404.7E-3,4.097,408.4E-3,4.079,411.8E-3,4.062,414.8E-3,4.045,417.5E-3,4.030
389.3E-3,3.795,404.7E-3,3.744,416.5E-3,3.704,425.9E-3,3.671,433.6E-3,3.643,440.1E-3,3.618,445.6E-3,3.594,450.4E-3,3.573,454.7E-3,3.553,458.4E-3,3.534,461.7E-3,3.517,464.8E-3,3.500,467.5E-3,3.486
439.3E-3,3.298,454.7E-3,3.261,466.5E-3,3.228,475.9E-3,3.199,483.6E-3,3.171,490.1E-3,3.145,495.6E-3,3.121,500.4E-3,3.099,504.6E-3,3.078,508.4E-3,3.059,511.7E-3,3.041,514.8E-3,3.024,517.5E-3,3.008
489.3E-3,2.888,504.6E-3,2.855,516.4E-3,2.823,525.9E-3,2.792,533.6E-3,2.763,540.1E-3,2.737,545.6E-3,2.712,550.4E-3,2.690,554.6E-3,2.670,558.4E-3,2.652,561.7E-3,2.635,564.8E-3,2.620,567.5E-3,2.606
539.3E-3,2.543,554.6E-3,2.509,566.4E-3,2.475,575.9E-3,2.443,583.6E-3,2.414,590.1E-3,2.389,595.6E-3,2.367,600.4E-3,2.347,604.6E-3,2.329,608.4E-3,2.313,611.7E-3,2.299,614.8E-3,2.286,617.5E-3,2.274
589.2E-3,2.248,604.6E-3,2.211,616.4E-3,2.177,625.8E-3,2.147,633.6E-3,2.121,640.1E-3,2.099,645.6E-3,2.079,650.4E-3,2.062,654.6E-3,2.047,658.4E-3,2.034,661.7E-3,2.022,664.8E-3,2.012,667.5E-3,2.002
639.2E-3,1.994,654.6E-3,1.957,666.4E-3,1.925,675.8E-3,1.898,683.6E-3,1.876,690.0E-3,1.857,695.6E-3,1.841,700.4E-3,1.827,704.6E-3,1.814,708.4E-3,1.803,711.7E-3,1.793,714.8E-3,1.785,717.5E-3,1.777
