9.37E-01,160.3,9.11E-01,138.8,8.91E-01,121.9,8.77E-01,108.5,8.65E-01,97.58,8.55E-01,88.55,8.46E-01,80.97,8.39E-01,74.54,8.33E-01,69.02,8.28E-01,64.23,8.23E-01,60.05,8.18E-01,56.37,8.14E-01,53.11
1.035,152.6,1.006,132.3,9.84E-01,116.4,9.68E-01,103.6,9.55E-01,93.25,9.44E-01,84.66,9.35E-01,77.45,9.27E-01,71.32,9.20E-01,66.06,9.14E-01,61.5,9.09E-01,57.51,9.04E-01,54,8.99E-01,50.88
1.147,144.5,1.115,125.5,1.092,110.5,1.074,98.48,1.059,88.67,1.047,80.55,1.037,73.73,1.028,67.92,1.021,62.94,1.014,58.61,1.008,54.83,1.002,51.49,9.97E-01,48.53
1.279,136,1.243,118.3,1.217,104.3,1.197,93.05,1.18,83.85,1.167,76.22,1.155,69.8,1.146,64.34,1.137,59.64,1.129,55.56,1.122,51.99,1.116,48.84,1.11,46.05
1.433,127.1,1.393,110.8,1.364,97.79,1.341,87.34,1.323,78.77,1.307,71.66,1.294,65.66,1.283,60.55,1.273,56.16,1.264,52.34,1.256,48.99,1.249,46.04,1.243,43.42
1.614,117.8,1.57,102.9,1.538,90.96,1.512,81.34,1.491,73.43,1.474,66.85,1.459,61.3,1.445,56.57,1.434,52.49,1.424,48.94,1.415,45.83,1.406,43.09,1.399,40.65
1.829,108.1,1.781,94.61,1.744,83.81,1.715,75.04,1.692,67.83,1.672,61.81,1.654,56.72,1.639,52.38,1.626,48.63,1.614,45.37,1.603,42.51,1.594,39.98,1.585,37.73
2.084,98.04,2.032,86.02,1.992,76.35,1.96,68.47,1.933,61.97,1.91,56.53,1.89,51.92,1.873,47.99,1.857,44.59,1.843,41.62,1.831,39.02,1.819,36.72,1.809,34.67
2.39,87.69,2.334,77.15,2.291,68.61,2.255,61.64,2.225,55.86,2.199,51.02,2.176,46.92,2.156,43.4,2.138,40.36,2.122,37.7,2.108,35.37,2.094,33.31,2.082,31.47
2.759,77.12,2.698,68.05,2.651,60.66,2.612,54.59,2.579,49.56,2.551,45.32,2.526,41.73,2.503,38.64,2.483,35.97,2.464,33.63,2.447,31.57,2.432,29.75,2.418,28.13
3.213,66.45,3.143,58.83,3.09,52.57,3.048,47.41,3.012,43.11,2.981,39.48,2.953,36.4,2.928,33.75,2.905,31.45,2.885,29.43,2.866,27.66,2.848,26.08,2.832,24.68
