bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja2/spectre/schematic" ?result "designParamVals"))) len 1.08e-06 
24.41,13.91E-6,29.80,2.814E-6,30.67,2.913E-6,30.79,3.382E-6,30.79,3.732E-6,30.79,3.948E-6,30.78,4.065E-6,30.77,4.115E-6,30.76,4.120E-6,30.75,4.093E-6,30.75,4.046E-6
24.37,47.09E-6,29.74,12.47E-6,30.60,13.48E-6,30.69,15.73E-6,30.68,17.36E-6,30.66,18.35E-6,30.64,18.88E-6,30.63,19.10E-6,30.61,19.12E-6,30.60,18.99E-6,30.59,18.76E-6
24.29,159.0E-6,29.63,55.01E-6,30.44,62.02E-6,30.50,72.68E-6,30.46,80.13E-6,30.42,84.55E-6,30.38,86.88E-6,30.34,87.79E-6,30.31,87.75E-6,30.28,87.06E-6,30.26,85.95E-6
24.16,533.9E-6,29.41,240.8E-6,30.13,282.2E-6,30.12,331.2E-6,30.03,364.0E-6,29.93,382.8E-6,29.85,392.2E-6,29.79,395.3E-6,29.73,394.2E-6,29.68,390.4E-6,29.63,384.8E-6
23.93,1.777E-3,28.98,1.038E-3,29.54,1.256E-3,29.40,1.469E-3,29.20,1.603E-3,29.04,1.675E-3,28.90,1.707E-3,28.78,1.713E-3,28.69,1.702E-3,28.60,1.680E-3,28.53,1.651E-3
23.56,5.831E-3,28.21,4.343E-3,28.48,5.370E-3,28.16,6.210E-3,27.86,6.692E-3,27.62,6.921E-3,27.42,6.993E-3,27.26,6.968E-3,27.13,6.882E-3,27.02,6.759E-3,26.93,6.614E-3
23.01,18.69E-3,26.97,17.29E-3,26.91,21.48E-3,26.46,24.37E-3,26.11,25.82E-3,25.84,26.35E-3,25.63,26.36E-3,25.46,26.05E-3,25.33,25.55E-3,25.22,24.96E-3,25.12,24.30E-3
22.29,58.03E-3,25.38,64.06E-3,25.07,78.81E-3,24.58,87.34E-3,24.20,90.86E-3,23.90,91.49E-3,23.67,90.52E-3,23.47,88.69E-3,23.31,86.38E-3,23.16,83.85E-3,23.04,81.23E-3
21.53,173.6E-3,23.61,218.3E-3,22.96,262.4E-3,22.26,282.6E-3,21.71,287.5E-3,21.27,284.3E-3,20.92,277.3E-3,20.64,268.4E-3,20.40,258.8E-3,20.19,249.0E-3,20.02,239.4E-3
20.66,498.9E-3,21.22,672.3E-3,19.94,770.3E-3,18.95,794.8E-3,18.23,782.7E-3,17.71,755.3E-3,17.30,722.4E-3,16.98,688.3E-3,16.71,655.2E-3,16.49,623.7E-3,16.31,594.2E-3
19.15,1.355,17.83,1.790,16.22,1.904,15.21,1.866,14.54,1.774,14.07,1.668,13.72,1.565,13.45,1.469,13.23,1.381,13.05,1.302,12.90,1.230
16.62,3.327,14.19,3.981,12.76,3.919,11.95,3.668,11.45,3.385,11.10,3.120,10.84,2.883,10.65,2.674,10.49,2.491,10.37,2.330,10.26,2.187
