bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.08e-06 
62.24E3,24.41,12.05E3,29.80,10.60E3,30.67,10.53E3,30.79,10.13E3,30.79,9.491E3,30.79,8.770E3,30.78,8.052E3,30.77,7.375E3,30.76,6.753E3,30.75,6.189E3,30.75
214.0E3,24.37,54.39E3,29.74,50.01E3,30.60,49.93E3,30.69,48.02E3,30.68,44.94E3,30.66,41.49E3,30.64,38.05E3,30.63,34.82E3,30.61,31.86E3,30.60,29.17E3,30.59
730.0E3,24.29,243.2E3,29.63,232.9E3,30.44,233.1E3,30.50,223.5E3,30.46,208.4E3,30.42,191.8E3,30.38,175.5E3,30.34,160.2E3,30.31,146.2E3,30.28,133.6E3,30.26
2.461E6,24.16,1.069E6,29.41,1.059E6,30.13,1.055E6,30.12,1.003E6,30.03,928.0E3,29.93,848.0E3,29.85,770.9E3,29.79,700.0E3,29.73,636.0E3,29.68,578.9E3,29.63
8.135E6,23.93,4.544E6,28.98,4.590E6,29.54,4.499E6,29.40,4.199E6,29.20,3.824E6,29.04,3.448E6,28.90,3.098E6,28.78,2.785E6,28.69,2.509E6,28.60,2.266E6,28.53
26.04E6,23.56,18.18E6,28.21,18.25E6,28.48,17.28E6,28.16,15.63E6,27.86,13.88E6,27.62,12.26E6,27.42,10.83E6,27.26,9.599E6,27.13,8.543E6,27.02,7.639E6,26.93
79.39E6,23.01,65.71E6,26.97,63.50E6,26.91,57.20E6,26.46,49.82E6,26.11,43.00E6,25.84,37.17E6,25.63,32.30E6,25.46,28.25E6,25.33,24.87E6,25.22,22.04E6,25.12
227.0E6,22.29,208.0E6,25.38,189.9E6,25.07,163.1E6,24.58,137.6E6,24.20,116.1E6,23.90,98.75E6,23.67,84.72E6,23.47,73.34E6,23.31,64.03E6,23.16,56.34E6,23.04
607.5E6,21.53,578.2E6,23.61,497.0E6,22.96,408.6E6,22.26,334.2E6,21.71,275.7E6,21.27,230.3E6,20.92,194.7E6,20.64,166.6E6,20.40,144.0E6,20.19,125.6E6,20.02
1.530E9,20.66,1.406E9,21.22,1.118E9,19.94,870.9E6,18.95,686.4E6,18.23,551.1E6,17.71,450.8E6,17.30,375.0E6,16.98,316.6E6,16.71,270.7E6,16.49,234.0E6,16.31
3.530E9,19.15,2.863E9,17.83,2.077E9,16.22,1.535E9,15.21,1.169E9,14.54,916.4E6,14.07,736.7E6,13.72,604.7E6,13.45,505.1E6,13.23,428.2E6,13.05,367.5E6,12.90
7.024E9,16.62,4.797E9,14.19,3.228E9,12.76,2.294E9,11.95,1.706E9,11.45,1.317E9,11.10,1.047E9,10.84,852.7E6,10.65,707.6E6,10.49,596.8E6,10.37,510.1E6,10.26
