bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / OP("/NM0" "gds"))) len 1.08e-06 
24.41,10.50,29.80,16.97,30.67,25.60,30.79,36.89,30.79,51.07,30.79,68.14,30.78,87.87,30.77,109.9,30.76,133.7,30.75,158.7,30.75,184.3
24.37,10.49,29.74,16.96,30.60,25.58,30.69,36.85,30.68,51.00,30.66,68.01,30.64,87.68,30.63,109.6,30.61,133.3,30.60,158.1,30.59,183.6
24.29,10.49,29.63,16.95,30.44,25.55,30.50,36.78,30.46,50.86,30.42,67.77,30.38,87.29,30.34,109.0,30.31,132.5,30.28,157.0,30.26,182.1
24.16,10.47,29.41,16.92,30.13,25.48,30.12,36.64,30.03,50.59,29.93,67.30,29.85,86.54,29.79,107.9,29.73,130.8,29.68,154.8,29.63,179.3
23.93,10.45,28.98,16.87,29.54,25.35,29.40,36.37,29.20,50.09,29.04,66.44,28.90,85.16,28.78,105.8,28.69,128.0,28.60,151.0,28.53,174.3
23.56,10.42,28.21,16.78,28.48,25.13,28.16,35.92,27.86,49.27,27.62,65.08,27.42,83.05,27.26,102.8,27.13,123.7,27.02,145.4,26.93,167.3
23.01,10.38,26.97,16.64,26.91,24.82,26.46,35.33,26.11,48.26,25.84,63.47,25.63,80.66,25.46,99.40,25.33,119.2,25.22,139.6,25.12,160.1
22.29,10.34,25.38,16.48,25.07,24.52,24.58,34.81,24.20,47.41,23.90,62.12,23.67,78.61,23.47,96.42,23.31,115.1,23.16,134.1,23.04,153.0
21.53,10.32,23.61,16.39,22.96,24.31,22.26,34.39,21.71,46.55,21.27,60.53,20.92,75.94,20.64,92.28,20.40,109.1,20.19,125.9,20.02,142.4
20.66,10.35,21.22,16.31,19.94,24.01,18.95,33.62,18.23,44.97,17.71,57.72,17.30,71.42,16.98,85.61,16.71,99.85,16.49,113.8,16.31,127.3
