bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.8e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 2.7e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 3.6e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 4.5e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 5.4e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 6.3e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 7.2e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 8.1e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 9.9e-07 ,bsim3v3 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) len 1.08e-06 
-489.5E-3,24.41,-453.5E-3,29.80,-430.0E-3,30.67,-414.9E-3,30.79,-404.5E-3,30.79,-396.8E-3,30.79,-390.9E-3,30.78,-386.2E-3,30.77,-382.3E-3,30.76,-379.1E-3,30.75,-376.4E-3,30.75
-439.5E-3,24.37,-403.5E-3,29.74,-380.0E-3,30.60,-364.9E-3,30.69,-354.5E-3,30.68,-346.8E-3,30.66,-340.9E-3,30.64,-336.2E-3,30.63,-332.3E-3,30.61,-329.1E-3,30.60,-326.4E-3,30.59
-389.5E-3,24.29,-353.5E-3,29.63,-330.0E-3,30.44,-314.9E-3,30.50,-304.5E-3,30.46,-296.8E-3,30.42,-290.9E-3,30.38,-286.2E-3,30.34,-282.3E-3,30.31,-279.1E-3,30.28,-276.4E-3,30.26
-339.5E-3,24.16,-303.5E-3,29.41,-280.0E-3,30.13,-264.9E-3,30.12,-254.5E-3,30.03,-246.8E-3,29.93,-240.9E-3,29.85,-236.2E-3,29.79,-232.3E-3,29.73,-229.1E-3,29.68,-226.4E-3,29.63
-289.5E-3,23.93,-253.5E-3,28.98,-230.0E-3,29.54,-214.9E-3,29.40,-204.5E-3,29.20,-196.8E-3,29.04,-190.9E-3,28.90,-186.2E-3,28.78,-182.3E-3,28.69,-179.1E-3,28.60,-176.4E-3,28.53
-239.5E-3,23.56,-203.5E-3,28.21,-180.0E-3,28.48,-164.9E-3,28.16,-154.5E-3,27.86,-146.8E-3,27.62,-140.9E-3,27.42,-136.2E-3,27.26,-132.3E-3,27.13,-129.1E-3,27.02,-126.4E-3,26.93
-189.5E-3,23.01,-153.5E-3,26.97,-130.0E-3,26.91,-114.9E-3,26.46,-104.5E-3,26.11,-96.83E-3,25.84,-90.92E-3,25.63,-86.20E-3,25.46,-82.34E-3,25.33,-79.12E-3,25.22,-76.39E-3,25.12
-139.5E-3,22.29,-103.5E-3,25.38,-80.02E-3,25.07,-64.91E-3,24.58,-54.49E-3,24.20,-46.83E-3,23.90,-40.92E-3,23.67,-36.20E-3,23.47,-32.34E-3,23.31,-29.12E-3,23.16,-26.39E-3,23.04
-89.52E-3,21.53,-53.50E-3,23.61,-30.02E-3,22.96,-14.91E-3,22.26,-4.492E-3,21.71,3.172E-3,21.27,9.083E-3,20.92,13.80E-3,20.64,17.66E-3,20.40,20.88E-3,20.19,23.61E-3,20.02
-39.52E-3,20.66,-3.500E-3,21.22,19.98E-3,19.94,35.09E-3,18.95,45.51E-3,18.23,53.17E-3,17.71,59.08E-3,17.30,63.80E-3,16.98,67.66E-3,16.71,70.88E-3,16.49,73.61E-3,16.31
10.48E-3,19.15,46.50E-3,17.83,69.98E-3,16.22,85.09E-3,15.21,95.51E-3,14.54,103.2E-3,14.07,109.1E-3,13.72,113.8E-3,13.45,117.7E-3,13.23,120.9E-3,13.05,123.6E-3,12.90
