bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y ((OP("/PM0" "ids") * -1) / pv("top-level" "wid" ?resultsDir "/home/vasanti/simulation/maja3/spectre/schematic" ?result "designParamVals"))) len 1.08e-06 
1.977,106.7,1.774,84.83,1.648,70.86,1.574,60.70,1.525,53.02,1.490,47.04,1.465,42.27,1.445,38.38,1.429,35.13,1.415,32.40,1.405,30.05
2.187,96.19,1.966,77.27,1.823,64.98,1.736,55.88,1.679,48.94,1.639,43.51,1.609,39.15,1.585,35.58,1.567,32.60,1.552,30.08,1.539,27.92
2.425,85.72,2.190,69.65,2.028,59.03,1.927,51.00,1.861,44.80,1.814,39.92,1.778,35.98,1.751,32.74,1.729,30.03,1.711,27.73,1.696,25.76
2.695,75.43,2.448,62.03,2.270,53.02,2.155,46.06,2.077,40.61,2.022,36.27,1.980,32.75,1.948,29.85,1.922,27.41,1.900,25.34,1.883,23.56
3.005,65.43,2.738,54.50,2.553,47.01,2.426,41.08,2.337,36.37,2.272,32.59,2.222,29.49,2.184,26.92,2.153,24.76,2.128,22.92,2.107,21.32
3.367,55.81,3.063,47.15,2.873,41.05,2.742,36.11,2.645,32.12,2.572,28.88,2.515,26.21,2.470,23.97,2.434,22.08,2.404,20.47,2.379,19.07
3.798,46.67,3.427,40.09,3.228,35.25,3.099,31.21,3.002,27.90,2.926,25.17,2.865,22.91,2.815,21.01,2.773,19.39,2.739,18.00,2.710,16.79
4.329,38.11,3.847,33.44,3.617,29.71,3.487,26.47,3.395,23.78,3.324,21.54,3.265,19.66,3.215,18.07,3.173,16.72,3.137,15.55,3.106,14.53
5.000,30.20,4.349,27.25,4.058,24.53,3.909,22.01,3.816,19.86,3.749,18.05,3.696,16.52,3.652,15.23,3.614,14.11,3.581,13.14,3.553,12.30
5.881,23.03,4.969,21.60,4.580,19.77,4.389,17.89,4.277,16.22,4.203,14.80,4.149,13.58,4.107,12.54,4.073,11.64,4.045,10.86,4.021,10.18
7.088,16.68,5.767,16.53,5.226,15.48,4.965,14.17,4.815,12.93,4.718,11.84,4.651,10.90,4.601,10.09,4.563,9.385,4.532,8.768,4.507,8.225
8.822,11.24,6.837,12.08,6.059,11.69,5.688,10.86,5.477,10.00,5.341,9.214,5.248,8.517,5.180,7.905,5.128,7.369,5.087,6.897,5.054,6.479
11.42,6.807,8.342,8.285,7.183,8.407,6.640,7.992,6.333,7.453,6.137,6.922,6.001,6.434,5.902,5.997,5.827,5.608,5.768,5.261,5.720,4.952
15.32,3.509,10.56,5.184,8.776,5.655,7.954,5.559,7.494,5.283,7.202,4.966,7.000,4.655,6.853,4.365,6.741,4.100,6.653,3.861,6.582,3.645
20.36,1.441,13.92,2.827,11.14,3.451,9.860,3.572,9.149,3.494,8.700,3.345,8.391,3.174,8.167,3.004,7.997,2.842,7.863,2.690,7.755,2.551
24.59,464.4E-3,18.63,1.259,14.70,1.819,12.73,2.041,11.62,2.088,10.91,2.056,10.43,1.990,10.08,1.910,9.809,1.826,9.601,1.744,9.433,1.664
27.02,127.5E-3,23.46,437.3E-3,19.57,775.3E-3,16.96,977.4E-3,15.32,1.071,14.25,1.102,13.50,1.100,12.95,1.079,12.53,1.050,12.20,1.015,11.94,979.7E-3
