bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 1.8e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 2.7e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 3.6e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 4.5e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 5.4e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 6.3e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 7.2e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 8.1e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 9e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 9.9e-07  (V),bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y OP("/PM0" "vgt")) len 1.08e-06  (V)
1.977,-743.8E-3,1.774,-812.3E-3,1.648,-854.3E-3,1.574,-880.7E-3,1.525,-898.7E-3,1.490,-911.9E-3,1.465,-922.0E-3,1.445,-930.0E-3,1.429,-936.5E-3,1.415,-941.9E-3,1.405,-946.4E-3
2.187,-693.8E-3,1.966,-762.3E-3,1.823,-804.3E-3,1.736,-830.7E-3,1.679,-848.7E-3,1.639,-861.9E-3,1.609,-872.0E-3,1.585,-880.0E-3,1.567,-886.5E-3,1.552,-891.9E-3,1.539,-896.4E-3
2.425,-643.8E-3,2.190,-712.3E-3,2.028,-754.3E-3,1.927,-780.7E-3,1.861,-798.7E-3,1.814,-811.9E-3,1.778,-822.0E-3,1.751,-830.0E-3,1.729,-836.5E-3,1.711,-841.9E-3,1.696,-846.4E-3
2.695,-593.8E-3,2.448,-662.3E-3,2.270,-704.3E-3,2.155,-730.7E-3,2.077,-748.7E-3,2.022,-761.9E-3,1.980,-772.0E-3,1.948,-780.0E-3,1.922,-786.5E-3,1.900,-791.9E-3,1.883,-796.4E-3
3.005,-543.8E-3,2.738,-612.3E-3,2.553,-654.3E-3,2.426,-680.7E-3,2.337,-698.7E-3,2.272,-711.9E-3,2.222,-722.0E-3,2.184,-730.0E-3,2.153,-736.5E-3,2.128,-741.9E-3,2.107,-746.4E-3
3.367,-493.8E-3,3.063,-562.3E-3,2.873,-604.3E-3,2.742,-630.7E-3,2.645,-648.7E-3,2.572,-661.9E-3,2.515,-672.0E-3,2.470,-680.0E-3,2.434,-686.5E-3,2.404,-691.9E-3,2.379,-696.4E-3
3.798,-443.8E-3,3.427,-512.3E-3,3.228,-554.3E-3,3.099,-580.7E-3,3.002,-598.7E-3,2.926,-611.9E-3,2.865,-622.0E-3,2.815,-630.0E-3,2.773,-636.5E-3,2.739,-641.9E-3,2.710,-646.4E-3
4.329,-393.8E-3,3.847,-462.3E-3,3.617,-504.3E-3,3.487,-530.7E-3,3.395,-548.7E-3,3.324,-561.9E-3,3.265,-572.0E-3,3.215,-580.0E-3,3.173,-586.5E-3,3.137,-591.9E-3,3.106,-596.4E-3
5.000,-343.8E-3,4.349,-412.3E-3,4.058,-454.3E-3,3.909,-480.7E-3,3.816,-498.7E-3,3.749,-511.9E-3,3.696,-522.0E-3,3.652,-530.0E-3,3.614,-536.5E-3,3.581,-541.9E-3,3.553,-546.4E-3
5.881,-293.8E-3,4.969,-362.3E-3,4.580,-404.3E-3,4.389,-430.7E-3,4.277,-448.7E-3,4.203,-461.9E-3,4.149,-472.0E-3,4.107,-480.0E-3,4.073,-486.5E-3,4.045,-491.9E-3,4.021,-496.4E-3
