bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) len 1.08e-06 
1.977,23.96E9,1.774,11.98E9,1.648,7.144E9,1.574,4.737E9,1.525,3.369E9,1.490,2.518E9,1.465,1.952E9,1.445,1.558E9,1.429,1.272E9,1.415,1.058E9,1.405,893.9E6
2.187,23.89E9,1.966,12.11E9,1.823,7.263E9,1.736,4.828E9,1.679,3.439E9,1.639,2.573E9,1.609,1.997E9,1.585,1.595E9,1.567,1.303E9,1.552,1.084E9,1.539,916.3E6
2.425,23.61E9,2.190,12.18E9,2.028,7.356E9,1.927,4.907E9,1.861,3.503E9,1.814,2.624E9,1.778,2.039E9,1.751,1.629E9,1.729,1.332E9,1.711,1.109E9,1.696,937.6E6
2.695,23.09E9,2.448,12.13E9,2.270,7.409E9,2.155,4.967E9,2.077,3.555E9,2.022,2.668E9,1.980,2.076E9,1.948,1.660E9,1.922,1.358E9,1.900,1.132E9,1.883,957.3E6
3.005,22.33E9,2.738,11.93E9,2.553,7.393E9,2.426,4.995E9,2.337,3.590E9,2.272,2.701E9,2.222,2.105E9,2.184,1.686E9,2.153,1.381E9,2.128,1.151E9,2.107,974.4E6
3.367,21.33E9,3.063,11.54E9,2.873,7.272E9,2.742,4.969E9,2.645,3.595E9,2.572,2.716E9,2.515,2.122E9,2.470,1.703E9,2.434,1.396E9,2.404,1.166E9,2.379,987.6E6
3.798,20.12E9,3.427,10.98E9,3.228,7.016E9,3.099,4.856E9,3.002,3.547E9,2.926,2.697E9,2.865,2.117E9,2.815,1.704E9,2.773,1.401E9,2.739,1.171E9,2.710,993.9E6
4.329,18.71E9,3.847,10.28E9,3.617,6.628E9,3.487,4.637E9,3.395,3.421E9,3.324,2.624E9,3.265,2.073E9,3.215,1.677E9,3.173,1.384E9,3.137,1.161E9,3.106,987.4E6
5.000,17.12E9,4.349,9.464E9,4.058,6.138E9,3.909,4.322E9,3.816,3.212E9,3.749,2.481E9,3.696,1.973E9,3.652,1.606E9,3.614,1.332E9,3.581,1.122E9,3.553,957.8E6
5.881,15.36E9,4.969,8.568E9,4.580,5.582E9,4.389,3.944E9,4.277,2.942E9,4.203,2.281E9,4.149,1.822E9,4.107,1.489E9,4.073,1.240E9,4.045,1.048E9,4.021,897.7E6
7.088,13.41E9,5.767,7.607E9,5.226,4.985E9,4.965,3.531E9,4.815,2.638E9,4.718,2.049E9,4.651,1.639E9,4.601,1.342E9,4.563,1.119E9,4.532,948.1E6,4.507,813.5E6
8.822,11.27E9,6.837,6.591E9,6.059,4.362E9,5.688,3.101E9,5.477,2.321E9,5.341,1.804E9,5.248,1.444E9,5.180,1.183E9,5.128,987.4E6,5.087,836.9E6,5.054,718.5E6
11.42,8.893E9,8.342,5.522E9,7.183,3.720E9,6.640,2.663E9,6.333,1.999E9,6.137,1.557E9,6.001,1.247E9,5.902,1.022E9,5.827,853.6E6,5.768,723.6E6,5.720,621.4E6
15.32,6.247E9,10.56,4.395E9,8.776,3.061E9,7.954,2.220E9,7.494,1.677E9,7.202,1.311E9,7.000,1.052E9,6.853,863.8E6,6.741,721.9E6,6.653,612.4E6,6.582,526.2E6
20.36,3.538E9,13.92,3.199E9,11.14,2.384E9,9.860,1.773E9,9.149,1.356E9,8.700,1.067E9,8.391,861.0E6,8.167,708.8E6,7.997,593.7E6,7.863,504.5E6,7.755,434.0E6
24.59,1.483E9,18.63,1.971E9,14.70,1.686E9,12.73,1.320E9,11.62,1.035E9,10.91,826.7E6,10.43,672.9E6,10.08,557.5E6,9.809,469.1E6,9.601,400.0E6,9.433,345.0E6
27.02,504.2E6,23.46,929.8E6,19.57,997.3E6,16.96,865.0E6,15.32,714.1E6,14.25,587.3E6,13.50,487.3E6,12.95,409.0E6,12.53,347.4E6,12.20,298.3E6,11.94,258.7E6
30.72,157.3E6,26.30,343.0E6,24.16,451.6E6,22.01,453.7E6,20.27,409.7E6,18.94,356.5E6,17.95,307.0E6,17.18,264.6E6,16.58,229.1E6,16.09,199.7E6,15.70,175.2E6
37.34,39.14E6,29.01,114.8E6,26.70,165.5E6,25.62,183.7E6,24.65,181.3E6,23.74,169.2E6,22.92,153.7E6,22.22,138.0E6,21.61,123.4E6,21.10,110.3E6,20.65,98.80E6
43.61,6.336E6,34.63,32.95E6,29.69,56.01E6,27.84,65.45E6,27.00,67.08E6,26.49,64.91E6,26.10,61.05E6,25.76,56.55E6,25.45,51.99E6,25.17,47.62E6,24.92,43.56E6
46.89,717.1E3,41.57,6.377E6,35.74,15.56E6,32.17,21.10E6,30.20,23.05E6,29.08,23.04E6,28.38,22.10E6,27.92,20.76E6,27.59,19.30E6,27.35,17.85E6,27.17,16.48E6
48.12,68.39E3,46.03,804.8E3,42.50,2.807E6,39.12,4.905E6,36.51,6.257E6,34.62,6.878E6,33.24,7.010E6,32.24,6.860E6,31.48,6.562E6,30.89,6.195E6,30.44,5.806E6
48.55,6.120E3,47.87,79.86E3,46.48,335.7E3,44.78,713.9E3,43.10,1.075E6,41.59,1.346E6,40.29,1.516E6,39.19,1.604E6,38.27,1.630E6,37.49,1.615E6,36.83,1.573E6
48.72,535.3,48.51,7.213E3,48.06,32.46E3,47.45,75.32E3,46.77,124.1E3,46.10,169.1E3,45.45,205.5E3,44.85,232.2E3,44.30,250.1E3,43.80,260.5E3,43.35,265.1E3
48.80,46.37,48.74,630.0,48.60,2.896E3,48.41,6.918E3,48.19,11.78E3,47.96,16.61E3,47.73,20.86E3,47.51,24.33E3,47.30,26.97E3,47.10,28.86E3,46.91,30.10E3
48.86,3.995,48.85,54.33,48.81,251.1,48.75,604.9,48.68,1.041E3,48.61,1.483E3,48.54,1.883E3,48.47,2.219E3,48.40,2.486E3,48.33,2.685E3,48.27,2.827E3
48.92,342.8E-3,48.92,4.655,48.90,21.52,48.89,51.96,48.87,89.61,48.84,128.0,48.82,163.1,48.80,192.8,48.78,216.6,48.76,234.7,48.74,247.7
