bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 1.8e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 2.7e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 3.6e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 4.5e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 5.4e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 6.3e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 7.2e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 8.1e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 9e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 9.9e-07 ,bsim3v3 ,waveVsWave(?x ((OP("/PM0" "gm") / OP("/PM0" "ids")) * -1) ?y (OP("/PM0" "gm") / OP("/PM0" "gds"))) len 1.08e-06 
1.977,2.323,1.774,1.621,1.648,1.292,1.574,1.125,1.525,1.025,1.490,959.3E-3,1.465,912.2E-3,1.445,877.0E-3,1.429,849.6E-3,1.415,827.8E-3,1.405,810.0E-3
2.187,2.865,1.966,2.009,1.823,1.565,1.736,1.342,1.679,1.210,1.639,1.124,1.609,1.064,1.585,1.018,1.567,983.7E-3,1.552,956.0E-3,1.539,933.6E-3
2.425,3.546,2.190,2.568,2.028,1.958,1.927,1.646,1.861,1.465,1.814,1.349,1.778,1.267,1.751,1.207,1.729,1.161,1.711,1.125,1.696,1.096
2.695,4.358,2.448,3.381,2.270,2.549,2.155,2.097,2.077,1.836,2.022,1.669,1.980,1.554,1.948,1.471,1.922,1.407,1.900,1.357,1.883,1.317
3.005,5.274,2.738,4.532,2.553,3.475,2.426,2.808,2.337,2.411,2.272,2.158,2.222,1.985,2.184,1.861,2.153,1.768,2.128,1.695,2.107,1.637
3.367,6.257,3.063,6.044,2.873,4.931,2.742,3.990,2.645,3.369,2.572,2.962,2.515,2.685,2.470,2.486,2.434,2.337,2.404,2.223,2.379,2.132
3.798,7.266,3.427,7.837,3.228,7.077,3.099,5.973,3.002,5.058,2.926,4.396,2.865,3.925,2.815,3.583,2.773,3.327,2.739,3.130,2.710,2.976
4.329,8.271,3.847,9.763,3.617,9.873,3.487,9.067,3.395,8.008,3.324,7.051,3.265,6.283,3.215,5.687,3.173,5.227,3.137,4.866,3.106,4.579
5.000,9.249,4.349,11.68,4.058,13.03,3.909,13.22,3.816,12.61,3.749,11.68,3.696,10.70,3.652,9.816,3.614,9.061,3.581,8.429,3.553,7.903
5.881,10.19,4.969,13.50,4.580,16.22,4.389,17.93,4.277,18.59,4.203,18.46,4.149,17.88,4.107,17.08,4.073,16.23,4.045,15.41,4.021,14.65
7.088,11.08,5.767,15.20,5.226,19.22,4.965,22.63,4.815,25.09,4.718,26.59,4.651,27.30,4.601,27.43,4.563,27.20,4.532,26.76,4.507,26.20
