bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 5.4e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 5.85e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 6.3e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 6.75e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg")) ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 7.2e-07 
141.7E3,29.75,95.36E3,32.52,102.0E3,33.06,107.3E3,33.24,110.1E3,33.35,110.6E3,33.41,109.4E3,33.46,107.0E3,33.49,104.0E3,33.51,100.5E3,33.53,96.84E3,33.54,92.55E3,33.58,88.36E3,33.62,84.37E3,33.65,80.58E3,33.67,76.99E3,33.69
191.0E3,29.74,132.4E3,32.52,142.5E3,33.05,150.2E3,33.23,154.2E3,33.33,154.9E3,33.40,153.3E3,33.44,150.0E3,33.47,145.7E3,33.49,140.8E3,33.50,135.6E3,33.52,129.6E3,33.55,123.7E3,33.59,118.1E3,33.62,112.8E3,33.64,107.7E3,33.66
257.6E3,29.74,183.7E3,32.51,198.9E3,33.04,210.1E3,33.21,215.9E3,33.31,216.9E3,33.38,214.6E3,33.42,209.9E3,33.44,203.8E3,33.46,196.8E3,33.48,189.5E3,33.48,181.0E3,33.52,172.8E3,33.55,164.9E3,33.58,157.4E3,33.60,150.3E3,33.62
347.3E3,29.73,254.9E3,32.50,277.5E3,33.02,293.7E3,33.20,302.0E3,33.29,303.4E3,33.35,300.0E3,33.39,293.3E3,33.41,284.6E3,33.43,274.7E3,33.44,264.2E3,33.45,252.3E3,33.48,240.7E3,33.51,229.6E3,33.54,219.1E3,33.56,209.1E3,33.57
468.1E3,29.72,353.6E3,32.48,387.1E3,33.01,410.3E3,33.18,421.9E3,33.27,423.9E3,33.32,418.8E3,33.36,409.1E3,33.38,396.6E3,33.39,382.4E3,33.40,367.4E3,33.40,350.7E3,33.43,334.3E3,33.46,318.8E3,33.48,304.0E3,33.50,290.0E3,33.52
630.8E3,29.71,490.4E3,32.47,539.7E3,32.99,572.6E3,33.15,588.9E3,33.24,591.2E3,33.29,583.5E3,33.32,569.4E3,33.34,551.3E3,33.35,530.9E3,33.35,509.5E3,33.35,485.8E3,33.38,462.9E3,33.40,440.9E3,33.42,420.2E3,33.44,400.5E3,33.45
849.9E3,29.69,679.7E3,32.45,751.9E3,32.96,798.4E3,33.12,820.7E3,33.20,823.0E3,33.25,811.3E3,33.27,790.4E3,33.29,764.1E3,33.29,734.7E3,33.29,704.0E3,33.29,670.6E3,33.31,638.3E3,33.33,607.5E3,33.35,578.3E3,33.36,550.7E3,33.37
1.145E6,29.68,941.8E3,32.43,1.047E6,32.94,1.112E6,33.09,1.142E6,33.16,1.143E6,33.20,1.125E6,33.22,1.094E6,33.23,1.055E6,33.23,1.013E6,33.22,968.9E3,33.22,921.8E3,33.23,876.2E3,33.25,832.9E3,33.26,792.0E3,33.27,753.4E3,33.28
1.541E6,29.66,1.304E6,32.40,1.456E6,32.90,1.546E6,33.05,1.585E6,33.11,1.584E6,33.14,1.555E6,33.16,1.509E6,33.16,1.452E6,33.15,1.391E6,33.14,1.328E6,33.13,1.261E6,33.14,1.197E6,33.15,1.136E6,33.16,1.079E6,33.17,1.025E6,33.17
2.075E6,29.63,1.805E6,32.37,2.022E6,32.86,2.145E6,33.00,2.196E6,33.06,2.188E6,33.08,2.143E6,33.08,2.073E6,33.07,1.990E6,33.05,1.901E6,33.04,1.810E6,33.01,1.716E6,33.02,1.626E6,33.03,1.541E6,33.03,1.461E6,33.03,1.386E6,33.02
2.791E6,29.61,2.495E6,32.33,2.804E6,32.81,2.971E6,32.93,3.032E6,32.97,3.012E6,32.98,2.939E6,32.97,2.834E6,32.95,2.712E6,32.92,2.583E6,32.90,2.453E6,32.87,2.321E6,32.87,2.195E6,32.87,2.077E6,32.86,1.966E6,32.86,1.862E6,32.85
3.753E6,29.58,3.446E6,32.29,3.881E6,32.74,4.102E6,32.84,4.172E6,32.86,4.128E6,32.86,4.012E6,32.84,3.854E6,32.81,3.676E6,32.77,3.490E6,32.74,3.304E6,32.70,3.119E6,32.70,2.944E6,32.69,2.780E6,32.68,2.627E6,32.66,2.484E6,32.65
5.043E6,29.54,4.752E6,32.21,5.360E6,32.64,5.647E6,32.73,5.717E6,32.74,5.631E6,32.72,5.448E6,32.69,5.212E6,32.65,4.952E6,32.60,4.684E6,32.56,4.421E6,32.51,4.163E6,32.50,3.921E6,32.48,3.695E6,32.46,3.484E6,32.44,3.289E6,32.42
6.773E6,29.50,6.542E6,32.13,7.382E6,32.54,7.745E6,32.61,7.801E6,32.61,7.643E6,32.57,7.357E6,32.52,7.006E6,32.47,6.628E6,32.41,6.246E6,32.35,5.876E6,32.30,5.518E6,32.27,5.184E6,32.24,4.874E6,32.22,4.588E6,32.19,4.323E6,32.16
9.087E6,29.45,8.990E6,32.03,10.14E6,32.42,10.58E6,32.47,10.59E6,32.45,10.31E6,32.39,9.873E6,32.33,9.354E6,32.26,8.810E6,32.19,8.270E6,32.12,7.752E6,32.05,7.260E6,32.01,6.804E6,31.98,6.383E6,31.94,5.995E6,31.90,5.639E6,31.86
12.17E6,29.37,12.33E6,31.93,13.88E6,32.29,14.39E6,32.31,14.30E6,32.27,13.83E6,32.19,13.16E6,32.11,12.40E6,32.02,11.63E6,31.93,10.87E6,31.85,10.15E6,31.77,9.480E6,31.72,8.861E6,31.67,8.294E6,31.62,7.774E6,31.58,7.299E6,31.53
16.28E6,29.28,16.86E6,31.80,18.92E6,32.14,19.47E6,32.13,19.20E6,32.06,18.43E6,31.96,17.42E6,31.86,16.33E6,31.75,15.23E6,31.65,14.18E6,31.55,13.19E6,31.46,12.28E6,31.39,11.45E6,31.33,10.69E6,31.27,10.00E6,31.21,9.374E6,31.16
21.75E6,29.18,23.00E6,31.66,25.68E6,31.96,26.19E6,31.93,25.60E6,31.83,24.39E6,31.70,22.90E6,31.57,21.33E6,31.45,19.80E6,31.32,18.35E6,31.21,17.01E6,31.10,15.80E6,31.02,14.69E6,30.95,13.68E6,30.88,12.77E6,30.81,11.95E6,30.74
29.00E6,29.07,31.26E6,31.50,34.69E6,31.76,35.03E6,31.69,33.91E6,31.56,32.03E6,31.41,29.86E6,31.25,27.65E6,31.10,25.54E6,30.96,23.57E6,30.83,21.77E6,30.71,20.15E6,30.61,18.69E6,30.52,17.38E6,30.44,16.19E6,30.36,15.11E6,30.28
