bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 4.5e-08),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 9e-08),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 1.35e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 1.8e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 2.25e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 2.7e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 3.15e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 3.6e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 4.05e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 4.5e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 4.95e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 5.4e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 5.85e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 6.3e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 6.75e-07),bsim4 ,leafValue((OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals")) "length" 7.2e-07)
29.75,11.63E-6,32.52,8.678E-6,33.06,10.70E-6,33.24,12.83E-6,33.35,14.78E-6,33.41,16.49E-6,33.46,17.95E-6,33.49,19.18E-6,33.51,20.21E-6,33.53,21.07E-6,33.54,21.78E-6,33.58,22.22E-6,33.62,22.55E-6,33.65,22.82E-6,33.67,23.02E-6,33.69,23.17E-6
29.74,15.65E-6,32.52,12.01E-6,33.05,14.89E-6,33.23,17.89E-6,33.33,20.63E-6,33.40,23.03E-6,33.44,25.08E-6,33.47,26.81E-6,33.49,28.25E-6,33.50,29.46E-6,33.52,30.46E-6,33.55,31.08E-6,33.59,31.56E-6,33.62,31.94E-6,33.64,32.23E-6,33.66,32.45E-6
29.74,21.08E-6,32.51,16.63E-6,33.04,20.72E-6,33.21,24.93E-6,33.31,28.79E-6,33.38,32.16E-6,33.42,35.03E-6,33.44,37.46E-6,33.46,39.49E-6,33.48,41.18E-6,33.48,42.58E-6,33.52,43.46E-6,33.55,44.14E-6,33.58,44.69E-6,33.60,45.11E-6,33.62,45.43E-6
29.73,28.37E-6,32.50,23.02E-6,33.02,28.83E-6,33.20,34.75E-6,33.29,40.17E-6,33.35,44.90E-6,33.39,48.93E-6,33.41,52.33E-6,33.43,55.17E-6,33.44,57.54E-6,33.45,59.50E-6,33.48,60.76E-6,33.51,61.73E-6,33.54,62.51E-6,33.56,63.11E-6,33.57,63.57E-6
29.72,38.19E-6,32.48,31.85E-6,33.01,40.11E-6,33.18,48.43E-6,33.27,56.04E-6,33.32,62.66E-6,33.36,68.31E-6,33.38,73.07E-6,33.39,77.06E-6,33.40,80.37E-6,33.40,83.11E-6,33.43,84.90E-6,33.46,86.29E-6,33.48,87.39E-6,33.50,88.25E-6,33.52,88.91E-6
29.71,51.41E-6,32.47,44.07E-6,32.99,55.79E-6,33.15,67.48E-6,33.24,78.14E-6,33.29,87.43E-6,33.32,95.35E-6,33.34,102.0E-6,33.35,107.6E-6,33.35,112.2E-6,33.35,116.0E-6,33.38,118.6E-6,33.40,120.5E-6,33.42,122.1E-6,33.44,123.3E-6,33.45,124.3E-6
29.69,69.19E-6,32.45,60.97E-6,32.96,77.58E-6,33.12,93.99E-6,33.20,108.9E-6,33.25,121.9E-6,33.27,133.0E-6,33.29,142.3E-6,33.29,150.1E-6,33.29,156.6E-6,33.29,161.9E-6,33.31,165.5E-6,33.33,168.3E-6,33.35,170.5E-6,33.36,172.2E-6,33.37,173.6E-6
29.68,93.10E-6,32.43,84.33E-6,32.94,107.9E-6,33.09,130.9E-6,33.16,151.8E-6,33.20,170.0E-6,33.22,185.5E-6,33.23,198.5E-6,33.23,209.4E-6,33.22,218.4E-6,33.22,225.8E-6,33.23,230.8E-6,33.25,234.8E-6,33.26,237.9E-6,33.27,240.4E-6,33.28,242.2E-6
29.66,125.3E-6,32.40,116.6E-6,32.90,149.9E-6,33.05,182.2E-6,33.11,211.5E-6,33.14,236.9E-6,33.16,258.5E-6,33.16,276.6E-6,33.15,291.8E-6,33.14,304.3E-6,33.13,314.7E-6,33.14,321.7E-6,33.15,327.2E-6,33.16,331.6E-6,33.17,335.1E-6,33.17,337.7E-6
29.63,168.5E-6,32.37,161.2E-6,32.86,208.3E-6,33.00,253.4E-6,33.06,294.4E-6,33.08,329.9E-6,33.08,360.0E-6,33.07,385.2E-6,33.05,406.3E-6,33.04,423.7E-6,33.01,438.0E-6,33.02,447.9E-6,33.03,455.6E-6,33.03,461.8E-6,33.03,466.6E-6,33.02,470.2E-6
