bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 4.5e-08),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 9e-08),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 1.35e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 1.8e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 2.25e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 2.7e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 3.15e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 3.6e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 4.05e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 4.5e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 4.95e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 5.4e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 5.85e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 6.3e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 6.75e-07),bsim4 ,leafValue((OP("/NM0" "gm") / OP("/NM0" "gds")) "length" 7.2e-07)
29.75,18.90,32.52,24.13,33.06,26.40,33.24,28.06,33.35,29.37,33.41,30.45,33.46,31.37,33.49,32.18,33.51,32.91,33.53,33.58,33.54,34.20,33.58,34.84,33.62,35.45,33.65,36.02,33.67,36.57,33.69,37.09
29.74,18.90,32.52,24.13,33.05,26.40,33.23,28.05,33.33,29.36,33.40,30.44,33.44,31.36,33.47,32.17,33.49,32.90,33.50,33.57,33.52,34.18,33.55,34.83,33.59,35.43,33.62,36.01,33.64,36.55,33.66,37.07
29.74,18.90,32.51,24.12,33.04,26.39,33.21,28.05,33.31,29.35,33.38,30.43,33.42,31.35,33.44,32.16,33.46,32.89,33.48,33.55,33.48,34.17,33.52,34.81,33.55,35.42,33.58,35.99,33.60,36.54,33.62,37.06
29.73,18.89,32.50,24.12,33.02,26.38,33.20,28.04,33.29,29.35,33.35,30.42,33.39,31.34,33.41,32.15,33.43,32.88,33.44,33.54,33.45,34.15,33.48,34.79,33.51,35.40,33.54,35.97,33.56,36.51,33.57,37.03
29.72,18.89,32.48,24.12,33.01,26.38,33.18,28.03,33.27,29.34,33.32,30.41,33.36,31.33,33.38,32.13,33.39,32.86,33.40,33.52,33.40,34.13,33.43,34.77,33.46,35.38,33.48,35.95,33.50,36.49,33.52,37.01
29.71,18.88,32.47,24.11,32.99,26.37,33.15,28.02,33.24,29.32,33.29,30.40,33.32,31.31,33.34,32.12,33.35,32.84,33.35,33.50,33.35,34.11,33.38,34.75,33.40,35.35,33.42,35.92,33.44,36.46,33.45,36.97
29.69,18.88,32.45,24.10,32.96,26.36,33.12,28.01,33.20,29.31,33.25,30.38,33.27,31.29,33.29,32.09,33.29,32.81,33.29,33.47,33.29,34.08,33.31,34.71,33.33,35.32,33.35,35.88,33.36,36.42,33.37,36.94
29.68,18.87,32.43,24.09,32.94,26.35,33.09,28.00,33.16,29.29,33.20,30.36,33.22,31.27,33.23,32.07,33.23,32.79,33.22,33.44,33.22,34.05,33.23,34.68,33.25,35.28,33.26,35.84,33.27,36.38,33.28,36.89
29.66,18.87,32.40,24.08,32.90,26.34,33.05,27.98,33.11,29.27,33.14,30.33,33.16,31.24,33.16,32.04,33.15,32.75,33.14,33.40,33.13,34.01,33.14,34.64,33.15,35.23,33.16,35.80,33.17,36.33,33.17,36.84
29.63,18.86,32.37,24.07,32.86,26.32,33.00,27.96,33.06,29.25,33.08,30.30,33.08,31.21,33.07,32.00,33.05,32.71,33.04,33.35,33.01,33.95,33.02,34.57,33.03,35.17,33.03,35.72,33.03,36.25,33.02,36.76
