bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.5e-08 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 9e-08 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 1.35e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 1.8e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 2.25e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 2.7e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 3.15e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 3.6e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.05e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.5e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 4.95e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 5.4e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 5.85e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 6.3e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 6.75e-07 ,bsim4 (V),waveVsWave(?x OP("/NM0" "vgt") ?y (OP("/NM0" "gm") / OP("/NM0" "ids"))) length 7.2e-07 
-598.5E-3,29.75,-508.5E-3,32.52,-467.4E-3,33.06,-442.3E-3,33.24,-424.7E-3,33.35,-411.6E-3,33.41,-401.3E-3,33.46,-392.9E-3,33.49,-386.0E-3,33.51,-380.1E-3,33.53,-375.1E-3,33.54,-370.8E-3,33.58,-367.1E-3,33.62,-363.8E-3,33.65,-360.8E-3,33.67,-358.1E-3,33.69
-588.5E-3,29.74,-498.5E-3,32.52,-457.4E-3,33.05,-432.3E-3,33.23,-414.7E-3,33.33,-401.6E-3,33.40,-391.3E-3,33.44,-382.9E-3,33.47,-376.0E-3,33.49,-370.1E-3,33.50,-365.1E-3,33.52,-360.8E-3,33.55,-357.1E-3,33.59,-353.8E-3,33.62,-350.8E-3,33.64,-348.1E-3,33.66
-578.5E-3,29.74,-488.5E-3,32.51,-447.4E-3,33.04,-422.3E-3,33.21,-404.7E-3,33.31,-391.6E-3,33.38,-381.3E-3,33.42,-372.9E-3,33.44,-366.0E-3,33.46,-360.1E-3,33.48,-355.1E-3,33.48,-350.8E-3,33.52,-347.1E-3,33.55,-343.8E-3,33.58,-340.8E-3,33.60,-338.1E-3,33.62
-568.5E-3,29.73,-478.5E-3,32.50,-437.4E-3,33.02,-412.3E-3,33.20,-394.7E-3,33.29,-381.6E-3,33.35,-371.3E-3,33.39,-362.9E-3,33.41,-356.0E-3,33.43,-350.1E-3,33.44,-345.1E-3,33.45,-340.8E-3,33.48,-337.1E-3,33.51,-333.8E-3,33.54,-330.8E-3,33.56,-328.1E-3,33.57
-558.5E-3,29.72,-468.5E-3,32.48,-427.4E-3,33.01,-402.3E-3,33.18,-384.7E-3,33.27,-371.6E-3,33.32,-361.3E-3,33.36,-352.9E-3,33.38,-346.0E-3,33.39,-340.1E-3,33.40,-335.1E-3,33.40,-330.8E-3,33.43,-327.1E-3,33.46,-323.8E-3,33.48,-320.8E-3,33.50,-318.1E-3,33.52
-548.5E-3,29.71,-458.5E-3,32.47,-417.4E-3,32.99,-392.3E-3,33.15,-374.7E-3,33.24,-361.6E-3,33.29,-351.3E-3,33.32,-342.9E-3,33.34,-336.0E-3,33.35,-330.1E-3,33.35,-325.1E-3,33.35,-320.8E-3,33.38,-317.1E-3,33.40,-313.8E-3,33.42,-310.8E-3,33.44,-308.1E-3,33.45
-538.5E-3,29.69,-448.5E-3,32.45,-407.4E-3,32.96,-382.3E-3,33.12,-364.7E-3,33.20,-351.6E-3,33.25,-341.3E-3,33.27,-332.9E-3,33.29,-326.0E-3,33.29,-320.1E-3,33.29,-315.1E-3,33.29,-310.8E-3,33.31,-307.1E-3,33.33,-303.8E-3,33.35,-300.8E-3,33.36,-298.1E-3,33.37
-528.5E-3,29.68,-438.5E-3,32.43,-397.4E-3,32.94,-372.3E-3,33.09,-354.7E-3,33.16,-341.6E-3,33.20,-331.3E-3,33.22,-322.9E-3,33.23,-316.0E-3,33.23,-310.1E-3,33.22,-305.1E-3,33.22,-300.8E-3,33.23,-297.1E-3,33.25,-293.8E-3,33.26,-290.8E-3,33.27,-288.1E-3,33.28
-518.5E-3,29.66,-428.5E-3,32.40,-387.4E-3,32.90,-362.3E-3,33.05,-344.7E-3,33.11,-331.6E-3,33.14,-321.3E-3,33.16,-312.9E-3,33.16,-306.0E-3,33.15,-300.1E-3,33.14,-295.1E-3,33.13,-290.8E-3,33.14,-287.1E-3,33.15,-283.8E-3,33.16,-280.8E-3,33.17,-278.1E-3,33.17
-508.5E-3,29.63,-418.5E-3,32.37,-377.4E-3,32.86,-352.3E-3,33.00,-334.7E-3,33.06,-321.6E-3,33.08,-311.3E-3,33.08,-302.9E-3,33.07,-296.0E-3,33.05,-290.1E-3,33.04,-285.1E-3,33.01,-280.8E-3,33.02,-277.1E-3,33.03,-273.8E-3,33.03,-270.8E-3,33.03,-268.1E-3,33.02
