bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) length 3.6e-07 
2.692,131.5E9,2.387,66.46E9,2.321,41.73E9,2.318,28.99E9,2.334,21.47E9,2.356,16.62E9,2.379,13.30E9,2.401,10.90E9
3.625,131.5E9,3.061,65.60E9,2.916,40.66E9,2.879,27.93E9,2.876,20.49E9,2.886,15.74E9,2.900,12.50E9,2.915,10.18E9
5.272,127.3E9,4.163,63.49E9,3.847,38.83E9,3.736,26.36E9,3.691,19.14E9,3.673,14.57E9,3.667,11.48E9,3.667,9.294E9
8.321,110.0E9,6.166,58.68E9,5.477,35.82E9,5.201,24.10E9,5.064,17.35E9,4.984,13.10E9,4.932,10.24E9,4.897,8.238E9
12.92,68.13E9,10.04,47.18E9,8.706,30.28E9,8.110,20.61E9,7.781,14.85E9,7.569,11.19E9,7.419,8.722E9,7.304,6.990E9
16.63,24.50E9,16.10,25.38E9,15.02,19.15E9,14.30,13.91E9,13.80,10.35E9,13.42,7.946E9,13.13,6.273E9,12.88,5.070E9
20.41,5.680E9,22.33,7.212E9,23.07,6.111E9,23.25,4.689E9,23.21,3.623E9,23.08,2.864E9,22.93,2.317E9,22.77,1.914E9
26.37,740.5E6,29.08,884.8E6,29.98,797.8E6,30.23,642.1E6,30.26,511.1E6,30.20,411.8E6,30.12,337.6E6,30.03,281.6E6
30.39,48.42E6,32.93,44.95E6,33.60,40.30E6,33.83,34.71E6,33.92,29.84E6,33.95,25.76E6,33.96,22.40E6,33.95,19.62E6
31.94,2.204E6,34.29,1.577E6,34.87,1.328E6,35.09,1.131E6,35.22,978.5E3,35.30,856.5E3,35.35,757.6E3,35.39,676.4E3
32.40,87.87E3,34.63,49.29E3,35.22,38.81E3,35.47,32.13E3,35.61,27.32E3,35.71,23.65E3,35.78,20.76E3,35.83,18.44E3
