bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) length 3.6e-07 
2.692,12.07,2.387,14.47,2.321,15.45,2.318,16.27,2.334,17.07,2.356,17.85,2.379,18.60,2.401,19.32
3.625,15.35,3.061,17.79,2.916,18.84,2.879,19.82,2.876,20.80,2.886,21.77,2.900,22.70,2.915,23.61
5.272,20.27,4.163,22.36,3.847,23.30,3.736,24.34,3.691,25.45,3.673,26.56,3.667,27.64,3.667,28.68
8.321,27.42,6.166,28.92,5.477,29.48,5.201,30.47,5.064,31.64,4.984,32.82,4.932,33.99,4.897,35.11
12.92,34.62,10.04,37.69,8.706,38.23,8.110,39.31,7.781,40.59,7.569,41.88,7.419,43.13,7.304,44.32
16.63,37.30,16.10,44.40,15.02,47.45,14.30,49.97,13.80,52.16,13.42,54.07,13.13,55.77,12.88,57.29
20.41,41.55,22.33,48.00,23.07,51.24,23.25,54.23,23.21,56.89,23.08,59.26,22.93,61.39,22.77,63.31
26.37,50.65,29.08,56.91,29.98,57.80,30.23,58.82,30.26,59.95,30.20,61.06,30.12,62.13,30.03,63.13
30.39,56.77,32.93,63.00,33.60,63.19,33.83,63.94,33.92,65.01,33.95,66.12,33.96,67.18,33.95,68.19
31.94,59.21,34.29,65.31,34.87,65.32,35.09,66.07,35.22,67.21,35.30,68.41,35.35,69.58,35.39,70.68
32.40,59.96,34.63,65.90,35.22,65.93,35.47,66.73,35.61,67.91,35.71,69.15,35.78,70.36,35.83,71.50
