bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/Acmos_pro/techplots-pmos/adexl/results/data/.tmpADEDir_vlsiuser28/Acmos_pro:techplots-pmos:1/simulation/techplots-pmos/spectre/schematic" ?result "designParamVals"))) length 3.6e-07 
2.692,273.0,2.387,238.0,2.321,206.2,2.318,179.7,2.334,158.7,2.356,141.9,2.379,128.4,2.401,117.2
3.625,199.9,3.061,181.7,2.916,159.0,2.879,138.8,2.876,122.5,2.886,109.4,2.900,98.73,2.915,89.97
5.272,129.2,4.163,127.3,3.847,113.8,3.736,100.1,3.691,88.47,3.673,79.02,3.667,71.29,3.667,64.91
8.321,66.47,6.166,76.75,5.477,72.02,5.201,64.47,5.064,57.49,4.984,51.58,4.932,46.66,4.897,42.55
12.92,23.14,10.04,34.85,8.706,36.14,8.110,33.74,7.781,30.77,7.569,27.99,7.419,25.56,7.304,23.48
16.63,5.201,16.10,9.532,15.02,11.36,14.30,11.41,13.80,10.87,13.42,10.19,13.13,9.520,12.88,8.900
20.41,832.7E-3,22.33,1.399,23.07,1.686,23.25,1.743,23.21,1.713,23.08,1.654,22.93,1.586,22.77,1.518
26.37,80.58E-3,29.08,106.3E-3,29.98,116.9E-3,30.23,117.5E-3,30.26,115.3E-3,30.20,112.0E-3,30.12,108.4E-3,30.03,104.9E-3
30.39,4.590E-3,32.93,4.641E-3,33.60,4.723E-3,33.83,4.637E-3,33.92,4.522E-3,33.95,4.399E-3,33.96,4.277E-3,33.95,4.161E-3
31.94,200.9E-6,34.29,159.4E-6,34.87,152.5E-6,35.09,146.4E-6,35.22,141.1E-6,35.30,136.4E-6,35.35,132.2E-6,35.39,128.3E-6
32.40,7.981E-6,34.63,5.041E-6,35.22,4.545E-6,35.47,4.262E-6,35.61,4.053E-6,35.71,3.882E-6,35.78,3.738E-6,35.83,3.613E-6
