freq (Hz),Vline (V),Vout (V),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)"
1,1.00E-02,1.31E-05,-57.67
1.002,1.00E-02,1.31E-05,-57.67
1.005,1.00E-02,1.31E-05,-57.67
1.007,1.00E-02,1.31E-05,-57.67
1.009,1.00E-02,1.31E-05,-57.67
1.012,1.00E-02,1.31E-05,-57.67
1.014,1.00E-02,1.31E-05,-57.67
1.016,1.00E-02,1.31E-05,-57.67
1.019,1.00E-02,1.31E-05,-57.67
1.021,1.00E-02,1.31E-05,-57.67
1.023,1.00E-02,1.31E-05,-57.67
1.026,1.00E-02,1.31E-05,-57.67
1.028,1.00E-02,1.31E-05,-57.67
1.03,1.00E-02,1.31E-05,-57.67
1.033,1.00E-02,1.31E-05,-57.67
1.035,1.00E-02,1.31E-05,-57.67
1.038,1.00E-02,1.31E-05,-57.67
1.04,1.00E-02,1.31E-05,-57.67
1.042,1.00E-02,1.31E-05,-57.67
1.045,1.00E-02,1.31E-05,-57.67
1.047,1.00E-02,1.31E-05,-57.67
1.05,1.00E-02,1.31E-05,-57.67
1.052,1.00E-02,1.31E-05,-57.67
1.054,1.00E-02,1.31E-05,-57.67
1.057,1.00E-02,1.31E-05,-57.67
1.059,1.00E-02,1.31E-05,-57.67
1.062,1.00E-02,1.31E-05,-57.67
1.064,1.00E-02,1.31E-05,-57.67
1.067,1.00E-02,1.31E-05,-57.67
1.069,1.00E-02,1.31E-05,-57.67
1.072,1.00E-02,1.31E-05,-57.67
1.074,1.00E-02,1.31E-05,-57.67
1.076,1.00E-02,1.31E-05,-57.67
1.079,1.00E-02,1.31E-05,-57.67
1.081,1.00E-02,1.31E-05,-57.67
1.084,1.00E-02,1.31E-05,-57.67
1.086,1.00E-02,1.31E-05,-57.67
1.089,1.00E-02,1.31E-05,-57.67
1.091,1.00E-02,1.31E-05,-57.67
1.094,1.00E-02,1.31E-05,-57.67
1.096,1.00E-02,1.31E-05,-57.67
1.099,1.00E-02,1.31E-05,-57.67
1.102,1.00E-02,1.31E-05,-57.67
1.104,1.00E-02,1.31E-05,-57.67
1.107,1.00E-02,1.31E-05,-57.67
1.109,1.00E-02,1.31E-05,-57.67
1.112,1.00E-02,1.31E-05,-57.67
1.114,1.00E-02,1.31E-05,-57.67
1.117,1.00E-02,1.31E-05,-57.67
1.119,1.00E-02,1.31E-05,-57.67
1.122,1.00E-02,1.31E-05,-57.67
1.125,1.00E-02,1.31E-05,-57.67
1.127,1.00E-02,1.31E-05,-57.67
1.13,1.00E-02,1.31E-05,-57.67
1.132,1.00E-02,1.31E-05,-57.67
1.135,1.00E-02,1.31E-05,-57.67
1.138,1.00E-02,1.31E-05,-57.67
1.14,1.00E-02,1.31E-05,-57.67
1.143,1.00E-02,1.31E-05,-57.67
1.146,1.00E-02,1.31E-05,-57.67
1.148,1.00E-02,1.31E-05,-57.67
1.151,1.00E-02,1.31E-05,-57.67
1.153,1.00E-02,1.31E-05,-57.67
1.156,1.00E-02,1.31E-05,-57.67
1.159,1.00E-02,1.31E-05,-57.67
1.161,1.00E-02,1.31E-05,-57.67
1.164,1.00E-02,1.31E-05,-57.67
1.167,1.00E-02,1.31E-05,-57.67
1.169,1.00E-02,1.31E-05,-57.67
1.172,1.00E-02,1.31E-05,-57.67
1.175,1.00E-02,1.31E-05,-57.67
1.178,1.00E-02,1.31E-05,-57.67
1.18,1.00E-02,1.31E-05,-57.67
1.183,1.00E-02,1.31E-05,-57.67
1.186,1.00E-02,1.31E-05,-57.67
1.189,1.00E-02,1.31E-05,-57.67
1.191,1.00E-02,1.31E-05,-57.67
1.194,1.00E-02,1.31E-05,-57.67
1.197,1.00E-02,1.31E-05,-57.67
1.199,1.00E-02,1.31E-05,-57.67
1.202,1.00E-02,1.31E-05,-57.67
1.205,1.00E-02,1.31E-05,-57.67
1.208,1.00E-02,1.31E-05,-57.67
1.211,1.00E-02,1.31E-05,-57.67
1.213,1.00E-02,1.31E-05,-57.67
1.216,1.00E-02,1.31E-05,-57.67
1.219,1.00E-02,1.31E-05,-57.67
1.222,1.00E-02,1.31E-05,-57.67
1.225,1.00E-02,1.31E-05,-57.67
1.227,1.00E-02,1.31E-05,-57.67
1.23,1.00E-02,1.31E-05,-57.67
1.233,1.00E-02,1.31E-05,-57.67
1.236,1.00E-02,1.31E-05,-57.67
1.239,1.00E-02,1.31E-05,-57.67
1.242,1.00E-02,1.31E-05,-57.67
1.245,1.00E-02,1.31E-05,-57.67
1.247,1.00E-02,1.31E-05,-57.67
1.25,1.00E-02,1.31E-05,-57.67
1.253,1.00E-02,1.31E-05,-57.67
1.256,1.00E-02,1.31E-05,-57.67
1.259,1.00E-02,1.31E-05,-57.67
1.262,1.00E-02,1.31E-05,-57.67
1.265,1.00E-02,1.31E-05,-57.67
1.268,1.00E-02,1.31E-05,-57.67
1.271,1.00E-02,1.31E-05,-57.67
1.274,1.00E-02,1.31E-05,-57.67
1.276,1.00E-02,1.31E-05,-57.67
1.279,1.00E-02,1.31E-05,-57.67
1.282,1.00E-02,1.31E-05,-57.67
1.285,1.00E-02,1.31E-05,-57.67
1.288,1.00E-02,1.31E-05,-57.67
1.291,1.00E-02,1.31E-05,-57.67
1.294,1.00E-02,1.31E-05,-57.67
1.297,1.00E-02,1.31E-05,-57.67
1.3,1.00E-02,1.31E-05,-57.67
1.303,1.00E-02,1.31E-05,-57.67
1.306,1.00E-02,1.31E-05,-57.67
1.309,1.00E-02,1.31E-05,-57.67
1.312,1.00E-02,1.31E-05,-57.67
1.315,1.00E-02,1.31E-05,-57.67
1.318,1.00E-02,1.31E-05,-57.67
1.321,1.00E-02,1.31E-05,-57.67
1.324,1.00E-02,1.31E-05,-57.67
1.327,1.00E-02,1.31E-05,-57.67
1.33,1.00E-02,1.31E-05,-57.67
1.334,1.00E-02,1.31E-05,-57.67
1.337,1.00E-02,1.31E-05,-57.67
1.34,1.00E-02,1.31E-05,-57.67
1.343,1.00E-02,1.31E-05,-57.67
1.346,1.00E-02,1.31E-05,-57.67
1.349,1.00E-02,1.31E-05,-57.67
1.352,1.00E-02,1.31E-05,-57.67
1.355,1.00E-02,1.31E-05,-57.67
1.358,1.00E-02,1.31E-05,-57.67
1.361,1.00E-02,1.31E-05,-57.67
1.365,1.00E-02,1.31E-05,-57.67
1.368,1.00E-02,1.31E-05,-57.67
1.371,1.00E-02,1.31E-05,-57.67
1.374,1.00E-02,1.31E-05,-57.67
1.377,1.00E-02,1.31E-05,-57.67
1.38,1.00E-02,1.31E-05,-57.67
1.384,1.00E-02,1.31E-05,-57.67
1.387,1.00E-02,1.31E-05,-57.67
1.39,1.00E-02,1.31E-05,-57.67
1.393,1.00E-02,1.31E-05,-57.67
1.396,1.00E-02,1.31E-05,-57.67
1.4,1.00E-02,1.31E-05,-57.67
1.403,1.00E-02,1.31E-05,-57.67
1.406,1.00E-02,1.31E-05,-57.67
1.409,1.00E-02,1.31E-05,-57.67
