freq (Hz),dB20((VF("/Vout") / VF("/Vline"))) (dB),Vout (V),Vline (V)
1.000,-93.14,220.4E-9,10.00E-3
1.002,-93.14,220.4E-9,10.00E-3
1.005,-93.14,220.4E-9,10.00E-3
1.007,-93.14,220.4E-9,10.00E-3
1.009,-93.14,220.4E-9,10.00E-3
1.012,-93.14,220.4E-9,10.00E-3
1.014,-93.14,220.4E-9,10.00E-3
1.016,-93.14,220.4E-9,10.00E-3
1.019,-93.14,220.4E-9,10.00E-3
1.021,-93.14,220.4E-9,10.00E-3
1.023,-93.14,220.4E-9,10.00E-3
1.026,-93.14,220.4E-9,10.00E-3
1.028,-93.14,220.4E-9,10.00E-3
1.030,-93.14,220.4E-9,10.00E-3
1.033,-93.14,220.4E-9,10.00E-3
1.035,-93.14,220.4E-9,10.00E-3
1.038,-93.14,220.4E-9,10.00E-3
1.040,-93.14,220.4E-9,10.00E-3
1.042,-93.14,220.4E-9,10.00E-3
1.045,-93.14,220.4E-9,10.00E-3
1.047,-93.14,220.4E-9,10.00E-3
1.050,-93.14,220.4E-9,10.00E-3
1.052,-93.14,220.4E-9,10.00E-3
1.054,-93.14,220.4E-9,10.00E-3
1.057,-93.14,220.4E-9,10.00E-3
1.059,-93.14,220.4E-9,10.00E-3
1.062,-93.14,220.4E-9,10.00E-3
1.064,-93.14,220.4E-9,10.00E-3
1.067,-93.14,220.4E-9,10.00E-3
1.069,-93.14,220.4E-9,10.00E-3
1.072,-93.14,220.4E-9,10.00E-3
1.074,-93.14,220.4E-9,10.00E-3
1.076,-93.14,220.4E-9,10.00E-3
1.079,-93.14,220.4E-9,10.00E-3
1.081,-93.14,220.4E-9,10.00E-3
1.084,-93.14,220.4E-9,10.00E-3
1.086,-93.14,220.4E-9,10.00E-3
1.089,-93.14,220.4E-9,10.00E-3
1.091,-93.14,220.4E-9,10.00E-3
1.094,-93.14,220.4E-9,10.00E-3
1.096,-93.14,220.4E-9,10.00E-3
1.099,-93.14,220.4E-9,10.00E-3
1.102,-93.14,220.4E-9,10.00E-3
1.104,-93.14,220.4E-9,10.00E-3
1.107,-93.14,220.4E-9,10.00E-3
1.109,-93.14,220.4E-9,10.00E-3
1.112,-93.14,220.4E-9,10.00E-3
1.114,-93.14,220.4E-9,10.00E-3
1.117,-93.14,220.4E-9,10.00E-3
1.119,-93.14,220.4E-9,10.00E-3
1.122,-93.14,220.4E-9,10.00E-3
1.125,-93.14,220.4E-9,10.00E-3
1.127,-93.14,220.4E-9,10.00E-3
1.130,-93.14,220.4E-9,10.00E-3
1.132,-93.14,220.4E-9,10.00E-3
1.135,-93.14,220.4E-9,10.00E-3
1.138,-93.14,220.4E-9,10.00E-3
1.140,-93.14,220.4E-9,10.00E-3
1.143,-93.14,220.4E-9,10.00E-3
1.146,-93.14,220.4E-9,10.00E-3
1.148,-93.14,220.4E-9,10.00E-3
1.151,-93.14,220.4E-9,10.00E-3
1.153,-93.14,220.4E-9,10.00E-3
1.156,-93.14,220.4E-9,10.00E-3
1.159,-93.14,220.4E-9,10.00E-3
1.161,-93.14,220.4E-9,10.00E-3
1.164,-93.14,220.4E-9,10.00E-3
1.167,-93.14,220.4E-9,10.00E-3
1.169,-93.14,220.4E-9,10.00E-3
1.172,-93.14,220.4E-9,10.00E-3
