freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,179.9,62.01
1.259,179.8,62.01
1.585,179.8,62.01
1.995,179.7,62.01
2.512,179.6,62.01
3.162,179.6,62.01
3.981,179.4,62.01
5.012,179.3,62.01
6.310,179.1,62.01
7.943,178.9,62.00
10.00,178.6,62.00
12.59,178.2,62.00
15.85,177.8,62.00
19.95,177.2,62.00
25.12,176.5,61.99
31.62,175.5,61.98
39.81,174.4,61.97
50.12,173.0,61.94
63.10,171.2,61.90
79.43,168.9,61.84
100.0,166.2,61.75
125.9,162.8,61.61
158.5,158.7,61.39
199.5,153.8,61.07
251.2,148.2,60.61
316.2,142.0,59.96
398.1,135.5,59.10
501.2,128.9,58.00
631.0,122.6,56.69
794.3,116.8,55.19
1.000E3,111.7,53.54
1.259E3,107.4,51.78
1.585E3,103.7,49.93
1.995E3,100.7,48.03
2.512E3,98.12,46.09
3.162E3,95.97,44.13
3.981E3,94.12,42.16
5.012E3,92.47,40.17
6.310E3,90.96,38.18
7.943E3,89.49,36.18
10.00E3,88.00,34.18
12.59E3,86.40,32.16
15.85E3,84.62,30.14
19.95E3,82.57,28.11
25.12E3,80.15,26.05
31.62E3,77.26,23.97
39.81E3,73.80,21.83
50.12E3,69.67,19.62
63.10E3,64.81,17.31
79.43E3,59.25,14.87
100.0E3,53.08,12.24
125.9E3,46.53,9.399
158.5E3,39.92,6.331
199.5E3,33.59,3.043
251.2E3,27.79,-439.8E-3
316.2E3,22.70,-4.078
398.1E3,18.37,-7.834
501.2E3,14.76,-11.67
631.0E3,11.81,-15.57
794.3E3,9.406,-19.50
1.000E6,7.469,-23.46
1.259E6,5.912,-27.43
1.585E6,4.660,-31.41
1.995E6,3.652,-35.40
2.512E6,2.835,-39.39
3.162E6,2.168,-43.39
3.981E6,1.616,-47.39
5.012E6,1.150,-51.38
6.310E6,744.7E-3,-55.38
7.943E6,379.2E-3,-59.38
10.00E6,33.83E-3,-63.38
12.59E6,-309.7E-3,-67.38
15.85E6,-669.5E-3,-71.39
19.95E6,-1.065,-75.39
25.12E6,-1.516,-79.39
31.62E6,-2.047,-83.40
39.81E6,-2.684,-87.41
50.12E6,-3.460,-91.42
63.10E6,-4.410,-95.45
79.43E6,-5.576,-99.48
100.0E6,-7.002,-103.5
125.9E6,-8.731,-107.6
158.5E6,-10.79,-111.8
199.5E6,-13.18,-116.0
251.2E6,-15.83,-120.3
316.2E6,-18.60,-124.7
398.1E6,-21.22,-129.3
501.2E6,-23.34,-134.0
631.0E6,-24.60,-138.8
794.3E6,-24.69,-143.7
1.000E9,-23.45,-148.6
