time (s),/Vline (V),/Vout (V)
0.000,1.400,998.7E-3
833.3E-6,1.405,998.9E-3
1.667E-3,1.409,998.9E-3
2.500E-3,1.410,998.9E-3
3.333E-3,1.409,998.9E-3
4.167E-3,1.405,998.9E-3
5.000E-3,1.400,998.9E-3
5.833E-3,1.395,998.9E-3
6.667E-3,1.391,998.9E-3
7.500E-3,1.390,998.9E-3
8.333E-3,1.391,998.9E-3
9.167E-3,1.395,998.9E-3
10.00E-3,1.400,998.9E-3
10.83E-3,1.405,998.9E-3
11.67E-3,1.409,998.9E-3
12.50E-3,1.410,998.9E-3
13.33E-3,1.409,998.9E-3
14.17E-3,1.405,998.9E-3
15.00E-3,1.400,998.9E-3
15.83E-3,1.395,998.9E-3
16.67E-3,1.391,998.9E-3
17.50E-3,1.390,998.9E-3
18.33E-3,1.391,998.9E-3
19.17E-3,1.395,998.9E-3
20.00E-3,1.400,998.9E-3
20.83E-3,1.405,998.9E-3
21.67E-3,1.409,998.9E-3
22.50E-3,1.410,998.9E-3
23.33E-3,1.409,998.9E-3
24.17E-3,1.405,998.9E-3
25.00E-3,1.400,998.9E-3
25.83E-3,1.395,998.9E-3
26.67E-3,1.391,998.9E-3
27.50E-3,1.390,998.9E-3
28.33E-3,1.391,998.9E-3
29.17E-3,1.395,998.9E-3
30.00E-3,1.400,998.9E-3
30.83E-3,1.405,998.9E-3
31.67E-3,1.409,998.9E-3
32.50E-3,1.410,998.9E-3
33.33E-3,1.409,998.9E-3
34.17E-3,1.405,998.9E-3
35.00E-3,1.400,998.9E-3
35.83E-3,1.395,998.9E-3
36.67E-3,1.391,998.9E-3
37.50E-3,1.390,998.9E-3
38.33E-3,1.391,998.9E-3
39.17E-3,1.395,998.9E-3
40.00E-3,1.400,998.9E-3
40.83E-3,1.405,998.9E-3
41.67E-3,1.409,998.9E-3
42.50E-3,1.410,998.9E-3
43.33E-3,1.409,998.9E-3
44.17E-3,1.405,998.9E-3
45.00E-3,1.400,998.9E-3
45.83E-3,1.395,998.9E-3
46.67E-3,1.391,998.9E-3
47.50E-3,1.390,998.9E-3
48.33E-3,1.391,998.9E-3
49.17E-3,1.395,998.9E-3
50.00E-3,1.400,998.9E-3
50.83E-3,1.405,998.9E-3
51.67E-3,1.409,998.9E-3
52.50E-3,1.410,998.9E-3
53.33E-3,1.409,998.9E-3
54.17E-3,1.405,998.9E-3
55.00E-3,1.400,998.9E-3
55.83E-3,1.395,998.9E-3
56.67E-3,1.391,998.9E-3
57.50E-3,1.390,998.9E-3
58.33E-3,1.391,998.9E-3
59.17E-3,1.395,998.9E-3
60.00E-3,1.400,998.9E-3
60.83E-3,1.405,998.9E-3
61.67E-3,1.409,998.9E-3
62.50E-3,1.410,998.9E-3
63.33E-3,1.409,998.9E-3
64.17E-3,1.405,998.9E-3
65.00E-3,1.400,998.9E-3
65.83E-3,1.395,998.9E-3
66.67E-3,1.391,998.9E-3
67.50E-3,1.390,998.9E-3
68.33E-3,1.391,998.9E-3
69.17E-3,1.395,998.9E-3
70.00E-3,1.400,998.9E-3
70.83E-3,1.405,998.9E-3
71.67E-3,1.409,998.9E-3
72.50E-3,1.410,998.9E-3
73.33E-3,1.409,998.9E-3
74.17E-3,1.405,998.9E-3
75.00E-3,1.400,998.9E-3
75.83E-3,1.395,998.9E-3
76.67E-3,1.391,998.9E-3
77.50E-3,1.390,998.9E-3
78.33E-3,1.391,998.9E-3
79.17E-3,1.395,998.9E-3
80.00E-3,1.400,998.9E-3
80.83E-3,1.405,998.9E-3
81.67E-3,1.409,998.9E-3
82.50E-3,1.410,998.9E-3
83.33E-3,1.409,998.9E-3
84.17E-3,1.405,998.9E-3
85.00E-3,1.400,998.9E-3
85.83E-3,1.395,998.9E-3
86.67E-3,1.391,998.9E-3
87.50E-3,1.390,998.9E-3
88.33E-3,1.391,998.9E-3
89.17E-3,1.395,998.9E-3
90.00E-3,1.400,998.9E-3
90.83E-3,1.405,998.9E-3
91.67E-3,1.409,998.9E-3
92.50E-3,1.410,998.9E-3
93.33E-3,1.409,998.9E-3
94.17E-3,1.405,998.9E-3
95.00E-3,1.400,998.9E-3
95.83E-3,1.395,998.9E-3
96.67E-3,1.391,998.9E-3
97.50E-3,1.390,998.9E-3
98.33E-3,1.391,998.9E-3
99.17E-3,1.395,998.9E-3
100.0E-3,1.400,998.9E-3
100.8E-3,1.405,998.9E-3
101.7E-3,1.409,998.9E-3
102.5E-3,1.410,998.9E-3
103.3E-3,1.409,998.9E-3
104.2E-3,1.405,998.9E-3
105.0E-3,1.400,998.9E-3
105.8E-3,1.395,998.9E-3
106.7E-3,1.391,998.9E-3
107.5E-3,1.390,998.9E-3
108.3E-3,1.391,998.9E-3
109.2E-3,1.395,998.9E-3
110.0E-3,1.400,998.9E-3
110.8E-3,1.405,998.9E-3
111.7E-3,1.409,998.9E-3
112.5E-3,1.410,998.9E-3
113.3E-3,1.409,998.9E-3
114.2E-3,1.405,998.9E-3
115.0E-3,1.400,998.9E-3
115.8E-3,1.395,998.9E-3
116.7E-3,1.391,998.9E-3
117.5E-3,1.390,998.9E-3
118.3E-3,1.391,998.9E-3
119.2E-3,1.395,998.9E-3
120.0E-3,1.400,998.9E-3
120.8E-3,1.405,998.9E-3
121.7E-3,1.409,998.9E-3
122.5E-3,1.410,998.9E-3
123.3E-3,1.409,998.9E-3
124.2E-3,1.405,998.9E-3
125.0E-3,1.400,998.9E-3
125.8E-3,1.395,998.9E-3
126.7E-3,1.391,998.9E-3
127.5E-3,1.390,998.9E-3
128.3E-3,1.391,998.9E-3
129.2E-3,1.395,998.9E-3
130.0E-3,1.400,998.9E-3
130.8E-3,1.405,998.9E-3
131.7E-3,1.409,998.9E-3
132.5E-3,1.410,998.9E-3
133.3E-3,1.409,998.9E-3
134.2E-3,1.405,998.9E-3
135.0E-3,1.400,998.9E-3
135.8E-3,1.395,998.9E-3
136.7E-3,1.391,998.9E-3
137.5E-3,1.390,998.9E-3
138.3E-3,1.391,998.9E-3
139.2E-3,1.395,998.9E-3
140.0E-3,1.400,998.9E-3
140.8E-3,1.405,998.9E-3
141.7E-3,1.409,998.9E-3
142.5E-3,1.410,998.9E-3
143.3E-3,1.409,998.9E-3
144.2E-3,1.405,998.9E-3
145.0E-3,1.400,998.9E-3
145.8E-3,1.395,998.9E-3
146.7E-3,1.391,998.8E-3
147.5E-3,1.390,998.9E-3
148.3E-3,1.391,998.9E-3
149.2E-3,1.395,998.9E-3
150.0E-3,1.400,998.9E-3
150.8E-3,1.405,998.9E-3
151.7E-3,1.409,998.9E-3
152.5E-3,1.410,998.9E-3
153.3E-3,1.409,998.9E-3
154.2E-3,1.405,998.9E-3
155.0E-3,1.400,998.9E-3
155.8E-3,1.395,998.9E-3
156.7E-3,1.391,998.8E-3
157.5E-3,1.390,998.9E-3
158.3E-3,1.391,998.8E-3
159.2E-3,1.395,998.9E-3
160.0E-3,1.400,998.9E-3
160.8E-3,1.405,998.9E-3
161.7E-3,1.409,998.9E-3
162.5E-3,1.410,998.9E-3
163.3E-3,1.409,998.9E-3
164.2E-3,1.405,998.9E-3
165.0E-3,1.400,998.9E-3
165.8E-3,1.395,998.9E-3
166.7E-3,1.391,998.8E-3
167.5E-3,1.390,998.9E-3
168.3E-3,1.391,998.9E-3
169.2E-3,1.395,998.9E-3
170.0E-3,1.400,998.9E-3
170.8E-3,1.405,998.9E-3
171.7E-3,1.409,998.9E-3
172.5E-3,1.410,998.9E-3
173.3E-3,1.409,998.9E-3
174.2E-3,1.405,998.9E-3
175.0E-3,1.400,998.9E-3
175.8E-3,1.395,998.9E-3
176.7E-3,1.391,998.9E-3
177.5E-3,1.390,998.9E-3
178.3E-3,1.391,998.9E-3
179.2E-3,1.395,998.9E-3
180.0E-3,1.400,998.9E-3
180.8E-3,1.405,998.9E-3
181.7E-3,1.409,998.9E-3
182.5E-3,1.410,998.9E-3
183.3E-3,1.409,998.9E-3
184.2E-3,1.405,998.9E-3
185.0E-3,1.400,998.9E-3
185.8E-3,1.395,998.9E-3
186.7E-3,1.391,998.9E-3
187.5E-3,1.390,998.9E-3
188.3E-3,1.391,998.9E-3
189.2E-3,1.395,998.9E-3
190.0E-3,1.400,998.9E-3
190.8E-3,1.405,998.9E-3
191.7E-3,1.409,998.9E-3
192.5E-3,1.410,998.9E-3
193.3E-3,1.409,998.9E-3
194.2E-3,1.405,998.9E-3
195.0E-3,1.400,998.9E-3
195.8E-3,1.395,998.9E-3
196.7E-3,1.391,998.9E-3
197.5E-3,1.390,998.9E-3
198.3E-3,1.391,998.9E-3
199.2E-3,1.395,998.9E-3
200.0E-3,1.400,998.9E-3
200.8E-3,1.405,998.9E-3
201.7E-3,1.409,998.9E-3
202.5E-3,1.410,998.9E-3
203.3E-3,1.409,998.9E-3
204.2E-3,1.405,998.9E-3
205.0E-3,1.400,998.9E-3
205.8E-3,1.395,998.9E-3
206.7E-3,1.391,998.9E-3
207.5E-3,1.390,998.9E-3
208.3E-3,1.391,998.9E-3
209.2E-3,1.395,998.9E-3
210.0E-3,1.400,998.9E-3
210.8E-3,1.405,998.9E-3
211.7E-3,1.409,998.9E-3
212.5E-3,1.410,998.9E-3
213.3E-3,1.409,998.9E-3
214.2E-3,1.405,998.9E-3
215.0E-3,1.400,998.9E-3
215.8E-3,1.395,998.9E-3
216.7E-3,1.391,998.9E-3
217.5E-3,1.390,998.9E-3
218.3E-3,1.391,998.9E-3
219.2E-3,1.395,998.9E-3
220.0E-3,1.400,998.9E-3
220.8E-3,1.405,998.9E-3
221.7E-3,1.409,998.9E-3
222.5E-3,1.410,998.9E-3
223.3E-3,1.409,998.9E-3
224.2E-3,1.405,998.9E-3
225.0E-3,1.400,998.9E-3
225.8E-3,1.395,998.9E-3
226.7E-3,1.391,998.9E-3
227.5E-3,1.390,998.9E-3
228.3E-3,1.391,998.8E-3
229.2E-3,1.395,998.9E-3
230.0E-3,1.400,998.9E-3
